"Opponent_Manager_Team","Year","Manager_Team","Week","Outcome","Matchup.1","Score","Opponent_Score","Win","Total_Score","Week_Num","Season","Manager","Opponent_Manager"
"Daniel's Stormies",2018,"Show Me Your TD's","7","Win",103.46,103.46,84.6,1,188.06,7,"Regular Season","Jon","Dan"
"Daniel's Stormies",2018,"Cousin's Familia","5","Loss",93,93,103.04,0,196.04,5,"Regular Season","Mike","Dan"
"Daniel's Stormies",2018,"Steelers SIXcess","8","Win",81.46,81.46,53.74,1,135.2,8,"Regular Season","Toney","Dan"
"Daniel's Stormies",2018,"Gronkey Kong","12","Loss",87.08,87.08,118.24,0,205.32,12,"Regular Season","Matt","Dan"
"Daniel's Stormies",2018,"MR. T's Cereal","3","Win",84.04,84.04,71.5,1,155.54,3,"Regular Season","Joe","Dan"
"Daniel's Stormies",2018,"MR. T's Cereal","Playoffs 3rd","Loss",81.04,81.04,117.54,0,198.58,16,"Post Season","Joe","Dan"
"Dinero Pineiro",2019,"Da Bear Necessities","Consolation Semi","Loss",67.9,67.9,116.54,0,184.44,15,"Post Season","Matt","Joe"
"Dinero Pineiro",2019,"Steelers SIXcess","12","Win",110.56,110.56,78.34,1,188.9,12,"Regular Season","Toney","Joe"
"Dinero Pineiro",2019,"TAEkin it 2 da HOUSE","Consolation Qtr","Loss",75.9,75.9,84.68,0,160.58,14,"Post Season","Spencer","Joe"
"Dinero Pineiro",2019,"SaquonDeezNuts","8","Loss",101.36,101.36,116.82,0,218.18,8,"Regular Season","Nic","Joe"
"Dinero Pineiro",2019,"SaquonDeezNuts","Consolation Champ","Win",138.16,138.16,73.56,1,211.72,16,"Post Season","Nic","Joe"
"Dinero Pineiro",2019,"Veggie Thunbergers","5","Win",121.18,121.18,94.9,1,216.08,5,"Regular Season","Dan","Joe"
"Dinero Pineiro",2019,"Show Me Your TD's","9","Win",140.7,140.7,56.46,1,197.16,9,"Regular Season","Jon","Joe"
"Dinero Pineiro",2019,"The Legion Of Zoom","1","Win",114.7,114.7,82.92,1,197.62,1,"Regular Season","Tony","Joe"
"Dinero Pineiro",2019,"Thunder Horse","2","Loss",84.1,84.1,84.9,0,169,2,"Regular Season","Colin","Joe"
"Dinero Pineiro",2019,"Admiral Ackbar's Ass","10","Win",114.66,114.66,74.48,1,189.14,10,"Regular Season","Greco","Joe"
"Dinero Pineiro",2019,"Hagar Billies","6","Loss",109,109,118.64,0,227.64,6,"Regular Season","Mike","Joe"
"Dinero Pineiro",2019,"Two Chips","13","Win",94.4,94.4,83.34,1,177.74,13,"Regular Season","Soda","Joe"
"Dinero Pineiro",2019,"TAEkin it 2 da HOUSE","4","Loss",108.78,108.78,127.88,0,236.66,4,"Regular Season","Spencer","Joe"
"Dinero Pineiro",2019,"Show Me Your TD's","3","Loss",104.5,104.5,127.76,0,232.26,3,"Regular Season","Jon","Joe"
"Dinero Pineiro",2019,"Admiral Ackbar's Ass","7","Win",83.16,83.16,69.26,1,152.42,7,"Regular Season","Greco","Joe"
"Dinero Pineiro",2019,"Da Bear Necessities","11","Win",110.62,110.62,91,1,201.62,11,"Regular Season","Matt","Joe"
"Fuck Gronks bitchass",2016,"Thunder Horse","Consolation Qtr","Win",81.94,81.94,77.86,1,159.8,14,"Post Season","Colin","Tony"
"Fuck Gronks bitchass",2016,"Show Me Your TD's","12","Win",93.26,93.26,79.14,1,172.4,12,"Regular Season","Jon","Tony"
"Fuck Gronks bitchass",2016,"Show Me Your TD's","1","Win",121.5,121.5,101.46,1,222.96,1,"Regular Season","Jon","Tony"
"Fuck Gronks bitchass",2016,"Jordy oz. to Freedom","2","Win",120.32,120.32,112.52,1,232.84,2,"Regular Season","Spencer","Tony"
"Fuck Gronks bitchass",2016,"Ginger Kids","11","Loss",63.04,63.04,69.68,0,132.72,11,"Regular Season","Dan","Tony"
"Fuck Gronks bitchass",2016,"Admiral Ackbar's Ass","8","Win",84.32,84.32,71.58,1,155.9,8,"Regular Season","Greco","Tony"
"Fuck Gronks bitchass",2016,"Team Zekeachu","4","Win",106.32,106.32,71.4,1,177.72,4,"Regular Season","Pender","Tony"
"Fuck Gronks bitchass",2016,"SUCK MY DITKA","3","Win",113.04,113.04,74.48,1,187.52,3,"Regular Season","Soda","Tony"
"Fuck Gronks bitchass",2016,"Wilfork on 1st Date","5","Win",96.08,96.08,73.52,1,169.6,5,"Regular Season","Matt","Tony"
"Fuck Gronks bitchass",2016,"Cheap Vodka","9","Win",112.32,112.32,73.9,1,186.22,9,"Regular Season","Joe","Tony"
"Fuck Gronks bitchass",2016,"Thunder Horse","7","Loss",99.04,99.04,108.86,0,207.9,7,"Regular Season","Colin","Tony"
"Fuck Gronks bitchass",2016,"Jordy oz. to Freedom","13","Win",74.06,74.06,73.4,1,147.46,13,"Regular Season","Spencer","Tony"
"Fuck Gronks bitchass",2016,"Bell's Potslam","10","Win",110.94,110.94,82.44,1,193.38,10,"Regular Season","Mike","Tony"
"Fuck Gronks bitchass",2016,"Ginger Kids","Consolation 11th","Win",84.76,84.76,76.02,1,160.78,15,"Post Season","Dan","Tony"
"Fuck Gronks bitchass",2016,"Steelers SIXcess","6","Loss",90.36,90.36,118.08,0,208.44,6,"Regular Season","Toney","Tony"
"Ginger Kids",2014,"Coolio Julio Hustle","7","Win",116.12,116.12,97.3,1,213.42,7,"Regular Season","Pender","Dan"
"Ginger Kids",2014,"The Taint Ticklers","6","Loss",97.88,97.88,121.44,0,219.32,6,"Regular Season","Matt","Dan"
"Ginger Kids",2014,"Teach me how to Raji","Playoffs 3rd","Loss",82.78,82.78,130.92,0,213.7,16,"Post Season","Spencer","Dan"
"Ginger Kids",2014,"SUCK MY DITKA","Playoffs Semi","Win",94.3,94.3,92.16,1,186.46,15,"Post Season","Soda","Dan"
"Ginger Kids",2014,"Circle Joique","2","Win",125.34,125.34,118.84,1,244.18,2,"Regular Season","Mike","Dan"
"Ginger Kids",2014,"The Strange Tamers","4","Loss",54,54,109.04,0,163.04,4,"Regular Season","Tony","Dan"
"Ginger Kids",2014,"Admiral Ackbar's Ass","3","Win",115.7,115.7,82.5,1,198.2,3,"Regular Season","Greco","Dan"
"Ginger Kids",2014,"Teach me how to Raji","10","Loss",67.56,67.56,96.78,0,164.34,10,"Regular Season","Spencer","Dan"
"Ginger Kids",2014,"Punts with a C","5","Win",117.78,117.78,111.76,1,229.54,5,"Regular Season","Jon","Dan"
"Ginger Kids",2014,"Coolio Julio Hustle","Playoffs Qtr","Loss",113.02,113.02,123.2,0,236.22,14,"Post Season","Pender","Dan"
"Ginger Kids",2014,"Admiral Ackbar's Ass","12","Loss",67.82,67.82,126.1,0,193.92,12,"Regular Season","Greco","Dan"
"Ginger Kids",2014,"SUCK MY DITKA","9","Win",111.38,111.38,41.1,1,152.48,9,"Regular Season","Soda","Dan"
"Ginger Kids",2014,"Cheap Vodka","8","Loss",79.92,79.92,124.28,0,204.2,8,"Regular Season","Joe","Dan"
"Ginger Kids",2014,"The Strange Tamers","13","Loss",93.6,93.6,101.96,0,195.56,13,"Regular Season","Tony","Dan"
"Ginger Kids",2014,"Circle Joique","11","Loss",68.92,68.92,118.5,0,187.42,11,"Regular Season","Mike","Dan"
"Ginger Kids",2015,"Circle Joique","8","Win",112.56,112.56,106.98,1,219.54,8,"Regular Season","Mike","Dan"
"Ginger Kids",2015,"Cheap Vodka","11","Loss",81.48,81.48,86.38,0,167.86,11,"Regular Season","Joe","Dan"
"Ginger Kids",2015,"WhamBamThankYouCam","9","Win",132.98,132.98,46.44,1,179.42,9,"Regular Season","Toney","Dan"
"Ginger Kids",2015,"Slob on my Cobb","Playoffs Semi","Loss",99.46,99.46,145.34,0,244.8,15,"Post Season","Spencer","Dan"
"Ginger Kids",2015,"Show Me Your TD's","Playoffs Champ","Loss",128.8,128.8,134.78,0,263.58,16,"Post Season","Jon","Dan"
"Ginger Kids",2015,"SUCK MY DITKA","13","Loss",118.82,118.82,123.84,0,242.66,13,"Regular Season","Soda","Dan"
"Ginger Kids",2015,"Cheap Vodka","2","Win",113.96,113.96,74.4,1,188.36,2,"Regular Season","Joe","Dan"
"Ginger Kids",2015,"The Derek Carrs","3","Loss",67,67,94.24,0,161.24,3,"Regular Season","Tony","Dan"
"Ginger Kids",2015,"SUCK MY DITKA","4","Win",91.64,91.64,86.66,1,178.3,4,"Regular Season","Soda","Dan"
"Ginger Kids",2015,"The Bell Staff","7","Loss",90.84,90.84,107.24,0,198.08,7,"Regular Season","Pender","Dan"
"Ginger Kids",2015,"Admiral Ackbar's Ass","Playoffs Qtr","Loss",96.32,96.32,108.62,0,204.94,14,"Post Season","Greco","Dan"
"Ginger Kids",2015,"Show Me Your TD's","5","Loss",79.8,79.8,84.76,0,164.56,5,"Regular Season","Jon","Dan"
"Ginger Kids",2015,"Admiral Ackbar's Ass","1","Loss",96,96,115.84,0,211.84,1,"Regular Season","Greco","Dan"
"Ginger Kids",2015,"Slob on my Cobb","6","Loss",88.4,88.4,93.36,0,181.76,6,"Regular Season","Spencer","Dan"
"Ginger Kids",2015,"The Derek Carrs","12","Win",115,115,65.42,1,180.42,12,"Regular Season","Tony","Dan"
"Ginger Kids",2015,"Admiral Ackbar's Ass","10","Loss",46.5,46.5,72.06,0,118.56,10,"Regular Season","Greco","Dan"
"Ginger Kids",2016,"Bell's Potslam","5","Win",86.64,86.64,78.86,1,165.5,5,"Regular Season","Mike","Dan"
"Ginger Kids",2016,"Steelers SIXcess","1","Win",115.1,115.1,85.68,1,200.78,1,"Regular Season","Toney","Dan"
"Ginger Kids",2016,"Team Zekeachu","10","Win",124.22,124.22,81.4,1,205.62,10,"Regular Season","Pender","Dan"
"Ginger Kids",2016,"SUCK MY DITKA","9","Loss",106.82,106.82,136.84,0,243.66,9,"Regular Season","Soda","Dan"
"Ginger Kids",2016,"Fuck Gronks bitchass","Consolation 11th","Loss",76.02,76.02,84.76,0,160.78,15,"Post Season","Tony","Dan"
"Ginger Kids",2016,"Wilfork on 1st Date","Consolation Qtr","Win",86.58,86.58,67.12,1,153.7,14,"Post Season","Matt","Dan"
"Ginger Kids",2016,"Thunder Horse","2","Win",109.8,109.8,61.02,1,170.82,2,"Regular Season","Colin","Dan"
"Ginger Kids",2016,"Wilfork on 1st Date","6","Loss",66.92,66.92,90.66,0,157.58,6,"Regular Season","Matt","Dan"
"Ginger Kids",2016,"Fuck Gronks bitchass","11","Win",69.68,69.68,63.04,1,132.72,11,"Regular Season","Tony","Dan"
"Ginger Kids",2016,"Cheap Vodka","4","Win",120.08,120.08,59.24,1,179.32,4,"Regular Season","Joe","Dan"
"Ginger Kids",2016,"Jordy oz. to Freedom","8","Win",140.44,140.44,69.62,1,210.06,8,"Regular Season","Spencer","Dan"
"Ginger Kids",2016,"Steelers SIXcess","12","Loss",102.94,102.94,135.76,0,238.7,12,"Regular Season","Toney","Dan"
"Ginger Kids",2016,"Show Me Your TD's","7","Loss",81.42,81.42,101.84,0,183.26,7,"Regular Season","Jon","Dan"
"Ginger Kids",2016,"Admiral Ackbar's Ass","3","Win",99.82,99.82,97.8,1,197.62,3,"Regular Season","Greco","Dan"
"Ginger Kids",2016,"Thunder Horse","13","Loss",79.9,79.9,83.1,0,163,13,"Regular Season","Colin","Dan"
"Ginger Kids",2017,"SUCK MY DITKA!","Playoffs Champ","Win",106.44,106.44,71.82,1,178.26,16,"Post Season","Soda","Dan"
"Ginger Kids",2017,"Thunder Horse","2","Loss",73.32,73.32,82.16,0,155.48,2,"Regular Season","Colin","Dan"
"Ginger Kids",2017,"Mr. Thiel Your Gurl","8","Loss",108,108,111.92,0,219.92,8,"Regular Season","Spencer","Dan"
"Ginger Kids",2017,"The Dakstreet Boys","6","Win",98,98,84.7,1,182.7,6,"Regular Season","Matt","Dan"
"Ginger Kids",2017,"Thunder Horse","13","Win",101.48,101.48,98.34,1,199.82,13,"Regular Season","Colin","Dan"
"Ginger Kids",2017,"Admiral Ackbar's Ass","3","Loss",100.2,100.2,114.4,0,214.6,3,"Regular Season","Greco","Dan"
"Ginger Kids",2017,"Team Carrizard","10","Loss",99.1,99.1,105.98,0,205.08,10,"Regular Season","Pender","Dan"
"Ginger Kids",2017,"Show Me Your TD's","7","Loss",78.54,78.54,107.82,0,186.36,7,"Regular Season","Jon","Dan"
"Ginger Kids",2017,"Steelers SIXcess","12","Loss",61.78,61.78,97.68,0,159.46,12,"Regular Season","Toney","Dan"
"Ginger Kids",2017,"Steelers SIXcess","1","Loss",94.44,94.44,133.6,0,228.04,1,"Regular Season","Toney","Dan"
"Ginger Kids",2017,"He Hate Me","Playoffs Semi","Loss",109.64,109.64,119.54,0,229.18,15,"Post Season","Mike","Dan"
"Ginger Kids",2017,"He Hate Me","5","Loss",114.76,114.76,121.66,0,236.42,5,"Regular Season","Mike","Dan"
"Ginger Kids",2017,"Cheap Vodka","4","Win",117.58,117.58,113.3,1,230.88,4,"Regular Season","Joe","Dan"
"Ginger Kids",2017,"SUCK MY DITKA!","9","Loss",82.78,82.78,96.32,0,179.1,9,"Regular Season","Soda","Dan"
"Ginger Kids",2017,"The Cucumber Curse","11","Win",105,105,95.9,1,200.9,11,"Regular Season","Tony","Dan"
"Gronkey Kong",2018,"Thunder Horse","9","Win",103.2,103.2,88.9,1,192.1,9,"Regular Season","Colin","Matt"
"Gronkey Kong",2018,"A bunch of Jerry's","8","Win",113.86,113.86,70.98,1,184.84,8,"Regular Season","Tony","Matt"
"Gronkey Kong",2018,"Daniel's Stormies","1","Win",107.82,107.82,103.9,1,211.72,1,"Regular Season","Dan","Matt"
"Gronkey Kong",2018,"Admiral Ackbar's Ass","Consolation 9th","Loss",102.54,102.54,113.02,0,215.56,16,"Post Season","Greco","Matt"
"Gronkey Kong",2018,"Daniel's Stormies","12","Win",118.24,118.24,87.08,1,205.32,12,"Regular Season","Dan","Matt"
"Gronkey Kong",2018,"Cousin's Familia","Consolation Qtr","Loss",78.08,78.08,144.58,0,222.66,14,"Post Season","Mike","Matt"
"Gronkey Kong",2018,"SUCK MY DITKA!!","6","Loss",113.18,113.18,124.36,0,237.54,6,"Regular Season","Soda","Matt"
"Gronkey Kong",2018,"Show Me Your TD's","4","Win",144.2,144.2,108.66,1,252.86,4,"Regular Season","Jon","Matt"
"Gronkey Kong",2018,"Suh Girls One Kupp","7","Win",89.98,89.98,88.86,1,178.84,7,"Regular Season","Nic","Matt"
"Gronkey Kong",2018,"MR. T's Cereal","11","Loss",110.64,110.64,125.86,0,236.5,11,"Regular Season","Joe","Matt"
"Gronkey Kong",2018,"Steelers SIXcess","5","Win",82.58,82.58,77.2,1,159.78,5,"Regular Season","Toney","Matt"
"Gronkey Kong",2018,"Ridley Me That","3","Win",105.8,105.8,96.22,1,202.02,3,"Regular Season","Spencer","Matt"
"Gronkey Kong",2018,"Ridley Me That","Consolation Semi","Win",73.16,73.16,56.3,1,129.46,15,"Post Season","Spencer","Matt"
"Gronkey Kong",2018,"Cousin's Familia","2","Win",125.6,125.6,113.24,1,238.84,2,"Regular Season","Mike","Matt"
"Gronkey Kong",2018,"Cousin's Familia","13","Win",89.74,89.74,82.54,1,172.28,13,"Regular Season","Mike","Matt"
"Gronkey Kong",2018,"Admiral Ackbar's Ass","10","Loss",120.14,120.14,151.32,0,271.46,10,"Regular Season","Greco","Matt"
"Hagar Billies",2019,"Thunder Horse","1","Win",107.2,107.2,103.72,1,210.92,1,"Regular Season","Colin","Mike"
"Hagar Billies",2019,"SaquonDeezNuts","9","Loss",77.64,77.64,91.26,0,168.9,9,"Regular Season","Nic","Mike"
"Hagar Billies",2019,"Veggie Thunbergers","Playoffs Qtr","Win",138.14,138.14,80.3,1,218.44,14,"Post Season","Dan","Mike"
"Hagar Billies",2019,"Da Bear Necessities","13","Loss",75.16,75.16,103.8,0,178.96,13,"Regular Season","Matt","Mike"
"Hagar Billies",2019,"Dinero Pineiro","6","Win",118.64,118.64,109,1,227.64,6,"Regular Season","Joe","Mike"
"Hagar Billies",2019,"Two Chips","Playoffs 5th","Win",127.78,127.78,86.64,1,214.42,15,"Post Season","Soda","Mike"
"Hagar Billies",2019,"The Legion Of Zoom","8","Loss",84.5,84.5,108.7,0,193.2,8,"Regular Season","Tony","Mike"
"Hagar Billies",2019,"Thunder Horse","4","Loss",68.9,68.9,113.94,0,182.84,4,"Regular Season","Colin","Mike"
"Hagar Billies",2019,"Veggie Thunbergers","2","Win",87.62,87.62,77.64,1,165.26,2,"Regular Season","Dan","Mike"
"Hagar Billies",2019,"Admiral Ackbar's Ass","3","Loss",103.24,103.24,118.22,0,221.46,3,"Regular Season","Greco","Mike"
"Hagar Billies",2019,"TAEkin it 2 da HOUSE","7","Loss",64.76,64.76,77.46,0,142.22,7,"Regular Season","Spencer","Mike"
"Hagar Billies",2019,"Show Me Your TD's","11","Win",98.42,98.42,59.76,1,158.18,11,"Regular Season","Jon","Mike"
"Hagar Billies",2019,"Steelers SIXcess","5","Loss",72.84,72.84,73.44,0,146.28,5,"Regular Season","Toney","Mike"
"Hagar Billies",2019,"Two Chips","12","Win",111.36,111.36,68.24,1,179.6,12,"Regular Season","Soda","Mike"
"Hagar Billies",2019,"TAEkin it 2 da HOUSE","10","Loss",70.72,70.72,79.26,0,149.98,10,"Regular Season","Spencer","Mike"
"He Hate Me",2017,"Thunder Horse","1","Loss",78.42,78.42,85.64,0,164.06,1,"Regular Season","Colin","Mike"
"He Hate Me",2017,"The Cucumber Curse","10","Win",94.34,94.34,88.46,1,182.8,10,"Regular Season","Tony","Mike"
"He Hate Me",2017,"Admiral Ackbar's Ass","13","Loss",75.4,75.4,122.02,0,197.42,13,"Regular Season","Greco","Mike"
"He Hate Me",2017,"Thunder Horse","12","Loss",104.32,104.32,121.58,0,225.9,12,"Regular Season","Colin","Mike"
"He Hate Me",2017,"Show Me Your TD's","6","Loss",48.34,48.34,102.18,0,150.52,6,"Regular Season","Jon","Mike"
"He Hate Me",2017,"Mr. Thiel Your Gurl","Playoffs Qtr","Loss",79.74,79.74,10.34,0,90.08,14,"Post Season","Spencer","Mike"
"He Hate Me",2017,"Cheap Vodka","3","Win",83.12,83.12,80.94,1,164.06,3,"Regular Season","Joe","Mike"
"He Hate Me",2017,"Team Carrizard","9","Loss",84.2,84.2,91.56,0,175.76,9,"Regular Season","Pender","Mike"
"He Hate Me",2017,"The Dakstreet Boys","Playoffs 3rd","Win",83.24,83.24,65.26,1,148.5,16,"Post Season","Matt","Mike"
"He Hate Me",2017,"Steelers SIXcess","11","Loss",102.3,102.3,106.12,0,208.42,11,"Regular Season","Toney","Mike"
"He Hate Me",2017,"Ginger Kids","Playoffs Semi","Win",119.54,119.54,109.64,1,229.18,15,"Post Season","Dan","Mike"
"He Hate Me",2017,"SUCK MY DITKA!","8","Win",134.46,134.46,101.94,1,236.4,8,"Regular Season","Soda","Mike"
"He Hate Me",2017,"Mr. Thiel Your Gurl","7","Loss",87.22,87.22,91.42,0,178.64,7,"Regular Season","Spencer","Mike"
"He Hate Me",2017,"Ginger Kids","5","Win",121.66,121.66,114.76,1,236.42,5,"Regular Season","Dan","Mike"
"He Hate Me",2017,"The Dakstreet Boys","4","Win",89.68,89.68,80.14,1,169.82,4,"Regular Season","Matt","Mike"
"He Hate Me",2017,"Admiral Ackbar's Ass","2","Loss",84.22,84.22,100.8,0,185.02,2,"Regular Season","Greco","Mike"
"Jordy oz. to Freedom",2016,"Team Zekeachu","1","Loss",79.3,79.3,93.86,0,173.16,1,"Regular Season","Pender","Spencer"
"Jordy oz. to Freedom",2016,"Ginger Kids","8","Loss",69.62,69.62,140.44,0,210.06,8,"Regular Season","Dan","Spencer"
"Jordy oz. to Freedom",2016,"SUCK MY DITKA","11","Loss",98.8,98.8,107.04,0,205.84,11,"Regular Season","Soda","Spencer"
"Jordy oz. to Freedom",2016,"Fuck Gronks bitchass","13","Loss",73.4,73.4,74.06,0,147.46,13,"Regular Season","Tony","Spencer"
"Jordy oz. to Freedom",2016,"Show Me Your TD's","9","Loss",68.84,68.84,106.08,0,174.92,9,"Regular Season","Jon","Spencer"
"Jordy oz. to Freedom",2016,"Cheap Vodka","6","Loss",87.64,87.64,93.3,0,180.94,6,"Regular Season","Joe","Spencer"
"Jordy oz. to Freedom",2016,"Team Zekeachu","12","Loss",102.78,102.78,108.32,0,211.1,12,"Regular Season","Pender","Spencer"
"Jordy oz. to Freedom",2016,"Bell's Potslam","7","Loss",87.28,87.28,102.74,0,190.02,7,"Regular Season","Mike","Spencer"
"Jordy oz. to Freedom",2016,"Show Me Your TD's","Playoffs 3rd","Loss",82.92,82.92,84.88,0,167.8,16,"Post Season","Jon","Spencer"
"Jordy oz. to Freedom",2016,"Fuck Gronks bitchass","2","Loss",112.52,112.52,120.32,0,232.84,2,"Regular Season","Tony","Spencer"
"Jordy oz. to Freedom",2016,"Wilfork on 1st Date","10","Loss",51.38,51.38,91.54,0,142.92,10,"Regular Season","Matt","Spencer"
"Jordy oz. to Freedom",2016,"Thunder Horse","4","Win",98.04,98.04,89.82,1,187.86,4,"Regular Season","Colin","Spencer"
"Jordy oz. to Freedom",2016,"Steelers SIXcess","3","Loss",72.18,72.18,101.5,0,173.68,3,"Regular Season","Toney","Spencer"
"Jordy oz. to Freedom",2016,"Team Zekeachu","Playoffs Semi","Win",144.32,144.32,80.58,1,224.9,15,"Post Season","Pender","Spencer"
"Jordy oz. to Freedom",2016,"Admiral Ackbar's Ass","5","Win",79.08,79.08,59.66,1,138.74,5,"Regular Season","Greco","Spencer"
"MR. T's Cereal",2018,"Thunder Horse","2","Loss",99.82,99.82,103.24,0,203.06,2,"Regular Season","Colin","Joe"
"MR. T's Cereal",2018,"Show Me Your TD's","6","Loss",73.38,73.38,105.88,0,179.26,6,"Regular Season","Jon","Joe"
"MR. T's Cereal",2018,"Thunder Horse","13","Win",107.86,107.86,95.56,1,203.42,13,"Regular Season","Colin","Joe"
"MR. T's Cereal",2018,"Daniel's Stormies","3","Loss",71.5,71.5,84.04,0,155.54,3,"Regular Season","Dan","Joe"
"MR. T's Cereal",2018,"Show Me Your TD's","Playoffs Qtr","Loss",81.78,81.78,84.7,0,166.48,14,"Post Season","Jon","Joe"
"MR. T's Cereal",2018,"Suh Girls One Kupp","9","Loss",65.36,65.36,115.92,0,181.28,9,"Regular Season","Nic","Joe"
"MR. T's Cereal",2018,"Cousin's Familia","4","Win",142.56,142.56,139.6,1,282.16,4,"Regular Season","Mike","Joe"
"MR. T's Cereal",2018,"Steelers SIXcess","7","Win",98.98,98.98,89.64,1,188.62,7,"Regular Season","Toney","Joe"
"MR. T's Cereal",2018,"Ridley Me That","5","Win",83.94,83.94,71.96,1,155.9,5,"Regular Season","Spencer","Joe"
"MR. T's Cereal",2018,"SUCK MY DITKA!!","8","Win",140.62,140.62,120.42,1,261.04,8,"Regular Season","Soda","Joe"
"MR. T's Cereal",2018,"A bunch of Jerry's","10","Loss",96.66,96.66,110.62,0,207.28,10,"Regular Season","Tony","Joe"
"MR. T's Cereal",2018,"Gronkey Kong","11","Win",125.86,125.86,110.64,1,236.5,11,"Regular Season","Matt","Joe"
"MR. T's Cereal",2018,"Admiral Ackbar's Ass","1","Loss",74.04,74.04,124.96,0,199,1,"Regular Season","Greco","Joe"
"MR. T's Cereal",2018,"Admiral Ackbar's Ass","12","Loss",117.42,117.42,121.56,0,238.98,12,"Regular Season","Greco","Joe"
"MR. T's Cereal",2018,"SUCK MY DITKA!!","Playoffs Semi","Win",112.78,112.78,77.52,1,190.3,15,"Post Season","Soda","Joe"
"MR. T's Cereal",2018,"Daniel's Stormies","Playoffs 3rd","Win",117.54,117.54,81.04,1,198.58,16,"Post Season","Dan","Joe"
"Mr. Thiel Your Gurl",2017,"Admiral Ackbar's Ass","5","Loss",67.08,67.08,78.74,0,145.82,5,"Regular Season","Greco","Spencer"
"Mr. Thiel Your Gurl",2017,"The Dakstreet Boys","10","Loss",71.94,71.94,102.44,0,174.38,10,"Regular Season","Matt","Spencer"
"Mr. Thiel Your Gurl",2017,"Ginger Kids","8","Win",111.92,111.92,108,1,219.92,8,"Regular Season","Dan","Spencer"
"Mr. Thiel Your Gurl",2017,"Show Me Your TD's","9","Loss",91.72,91.72,97,0,188.72,9,"Regular Season","Jon","Spencer"
"Mr. Thiel Your Gurl",2017,"He Hate Me","7","Win",91.42,91.42,87.22,1,178.64,7,"Regular Season","Mike","Spencer"
"Mr. Thiel Your Gurl",2017,"The Cucumber Curse","13","Loss",73.02,73.02,121.64,0,194.66,13,"Regular Season","Tony","Spencer"
"Mr. Thiel Your Gurl",2017,"Thunder Horse","Playoffs 5th","Loss",61.48,61.48,132.8,0,194.28,15,"Post Season","Colin","Spencer"
"Mr. Thiel Your Gurl",2017,"SUCK MY DITKA!","11","Win",104.64,104.64,92,1,196.64,11,"Regular Season","Soda","Spencer"
"Mr. Thiel Your Gurl",2017,"The Cucumber Curse","2","Win",121.48,121.48,106.12,1,227.6,2,"Regular Season","Tony","Spencer"
"Mr. Thiel Your Gurl",2017,"Thunder Horse","4","Win",89.8,89.8,87.16,1,176.96,4,"Regular Season","Colin","Spencer"
"Mr. Thiel Your Gurl",2017,"Team Carrizard","12","Loss",79.96,79.96,106.76,0,186.72,12,"Regular Season","Pender","Spencer"
"Mr. Thiel Your Gurl",2017,"Cheap Vodka","6","Loss",88.94,88.94,92.02,0,180.96,6,"Regular Season","Joe","Spencer"
"Mr. Thiel Your Gurl",2017,"He Hate Me","Playoffs Qtr","Win",110.34,110.34,79.74,1,190.08,14,"Post Season","Mike","Spencer"
"Mr. Thiel Your Gurl",2017,"Team Carrizard","1","Loss",51.68,51.68,70.84,0,122.52,1,"Regular Season","Pender","Spencer"
"Mr. Thiel Your Gurl",2017,"Steelers SIXcess","3","Loss",88.56,88.56,114.12,0,202.68,3,"Regular Season","Toney","Spencer"
"Punts with a C",2014,"The Taint Ticklers","13","Win",101.76,101.76,72.8,1,174.56,13,"Regular Season","Matt","Jon"
"Punts with a C",2014,"The Strange Tamers","Consolation Champ","Loss",60.4,60.4,75.28,0,135.68,16,"Post Season","Tony","Jon"
"Punts with a C",2014,"Circle Joique","Consolation Semi","Loss",52.02,52.02,117.18,0,169.2,15,"Post Season","Mike","Jon"
"Punts with a C",2014,"Coolio Julio Hustle","6","Win",92.34,92.34,82.74,1,175.08,6,"Regular Season","Pender","Jon"
"Punts with a C",2014,"Cheap Vodka","7","Win",86.7,86.7,86.24,1,172.94,7,"Regular Season","Joe","Jon"
"Punts with a C",2014,"Admiral Ackbar's Ass","11","Win",66.82,66.82,56.88,1,123.7,11,"Regular Season","Greco","Jon"
"Punts with a C",2014,"Admiral Ackbar's Ass","2","Win",123.38,123.38,112.16,1,235.54,2,"Regular Season","Greco","Jon"
"Punts with a C",2014,"Teach me how to Raji","9","Loss",51.5,51.5,101.82,0,153.32,9,"Regular Season","Spencer","Jon"
"Punts with a C",2014,"The Strange Tamers","12","Win",83.42,83.42,81.76,1,165.18,12,"Regular Season","Tony","Jon"
"Punts with a C",2014,"The Strange Tamers","3","Loss",88.5,88.5,96.46,0,184.96,3,"Regular Season","Tony","Jon"
"Punts with a C",2014,"The Taint Ticklers","4","Win",85.82,85.82,60.66,1,146.48,4,"Regular Season","Matt","Jon"
"Punts with a C",2014,"Circle Joique","10","Loss",78.7,78.7,104.3,0,183,10,"Regular Season","Mike","Jon"
"Punts with a C",2014,"SUCK MY DITKA","8","Win",155.84,155.84,114.66,1,270.5,8,"Regular Season","Soda","Jon"
"Punts with a C",2014,"Ginger Kids","5","Loss",111.76,111.76,117.78,0,229.54,5,"Regular Season","Dan","Jon"
"Ridley Me That",2018,"A bunch of Jerry's","2","Win",111.86,111.86,88.16,1,200.02,2,"Regular Season","Tony","Spencer"
