Player,Score,Week,Year,Position,
Indianapolis (Ind),8,4,2018,DEF,
Jacksonville (Jax),9,4,2018,DEF,
Kansas City (KC),6,4,2018,DEF,
Los Angeles (LAC),5,4,2018,DEF,
Los Angeles (LAR),5,4,2018,DEF,
Miami (Mia),0,4,2018,DEF,
Minnesota (Min),-3,4,2018,DEF,
New England (NE),10,4,2018,DEF,
New Orleans (NO),8,4,2018,DEF,
New York (NYG),0,4,2018,DEF,
New York (NYJ),7,4,2018,DEF,
Oakland (Oak),12,4,2018,DEF,
Philadelphia (Phi),5,4,2018,DEF,
Pittsburgh (Pit),4,4,2018,DEF,
San Francisco (SF),8,4,2018,DEF,
Seattle (Sea),4,4,2018,DEF,
Tampa Bay (TB),-3,4,2018,DEF,
Tennessee (Ten),6,4,2018,DEF,
Washington (Was),,4,2018,DEF,
Arizona (Ari),21,5,2018,DEF,
Atlanta (Atl),-2,5,2018,DEF,
Baltimore (Bal),11,5,2018,DEF,
Buffalo (Buf),12,5,2018,DEF,
Carolina (Car),12,5,2018,DEF,
Chicago (Chi),,5,2018,DEF,
Cincinnati (Cin),22,5,2018,DEF,
Cleveland (Cle),12,5,2018,DEF,
Dallas (Dal),6,5,2018,DEF,
Denver (Den),4,5,2018,DEF,
Detroit (Det),10,5,2018,DEF,
Green Bay (GB),2,5,2018,DEF,
Houston (Hou),7,5,2018,DEF,
Indianapolis (Ind),0,5,2018,DEF,
Jacksonville (Jax),5,5,2018,DEF,
Kansas City (KC),22,5,2018,DEF,
Los Angeles (LAC),11,5,2018,DEF,
Los Angeles (LAR),1,5,2018,DEF,
Miami (Mia),13,5,2018,DEF,
Minnesota (Min),13,5,2018,DEF,
New England (NE),7,5,2018,DEF,
New Orleans (NO),8,5,2018,DEF,
New York (NYG),5,5,2018,DEF,
New York (NYJ),7,5,2018,DEF,
Oakland (Oak),1,5,2018,DEF,
Philadelphia (Phi),4,5,2018,DEF,
Pittsburgh (Pit),17,5,2018,DEF,
San Francisco (SF),1,5,2018,DEF,
Seattle (Sea),4,5,2018,DEF,
Tampa Bay (TB),,5,2018,DEF,
Tennessee (Ten),7,5,2018,DEF,
Washington (Was),0,5,2018,DEF,
Arizona (Ari),14,6,2018,DEF,
Atlanta (Atl),5,6,2018,DEF,
Baltimore (Bal),21,6,2018,DEF,
Buffalo (Buf),14,6,2018,DEF,
Carolina (Car),3,6,2018,DEF,
Chicago (Chi),5,6,2018,DEF,
Cincinnati (Cin),-1,6,2018,DEF,
Cleveland (Cle),-1,6,2018,DEF,
Dallas (Dal),11,6,2018,DEF,
Denver (Den),7,6,2018,DEF,
Detroit (Det),,6,2018,DEF,
Green Bay (GB),7,6,2018,DEF,
Houston (Hou),20,6,2018,DEF,
Indianapolis (Ind),2,6,2018,DEF,
Jacksonville (Jax),-1,6,2018,DEF,
Kansas City (KC),0,6,2018,DEF,
Los Angeles (LAC),10,6,2018,DEF,
Los Angeles (LAR),5,6,2018,DEF,
Miami (Mia),7,6,2018,DEF,
Minnesota (Min),12,6,2018,DEF,
New England (NE),0,6,2018,DEF,
New Orleans (NO),,6,2018,DEF,
New York (NYG),0,6,2018,DEF,
New York (NYJ),13,6,2018,DEF,
Oakland (Oak),3,6,2018,DEF,
Philadelphia (Phi),10,6,2018,DEF,
Pittsburgh (Pit),3,6,2018,DEF,
San Francisco (SF),2,6,2018,DEF,
Seattle (Sea),17,6,2018,DEF,
Tampa Bay (TB),0,6,2018,DEF,
Tennessee (Ten),2,6,2018,DEF,
Washington (Was),8,6,2018,DEF,
Arizona (Ari),3,7,2018,DEF,
Atlanta (Atl),5,7,2018,DEF,
Baltimore (Bal),3,7,2018,DEF,
Buffalo (Buf),-2,7,2018,DEF,
Carolina (Car),7,7,2018,DEF,
Chicago (Chi),3,7,2018,DEF,
Cincinnati (Cin),0,7,2018,DEF,
Cleveland (Cle),14,7,2018,DEF,
Dallas (Dal),2,7,2018,DEF,
Denver (Den),32,7,2018,DEF,
Detroit (Det),4,7,2018,DEF,
Green Bay (GB),,7,2018,DEF,
Houston (Hou),14,7,2018,DEF,
Indianapolis (Ind),19,7,2018,DEF,
Jacksonville (Jax),2,7,2018,DEF,
Kansas City (KC),14,7,2018,DEF,
Los Angeles (LAC),5,7,2018,DEF,
Los Angeles (LAR),23,7,2018,DEF,
Miami (Mia),0,7,2018,DEF,
Minnesota (Min),12,7,2018,DEF,
New England (NE),19,7,2018,DEF,
New Orleans (NO),1,7,2018,DEF,
New York (NYG),5,7,2018,DEF,
New York (NYJ),-3,7,2018,DEF,
Oakland (Oak),,7,2018,DEF,
Philadelphia (Phi),2,7,2018,DEF,
Pittsburgh (Pit),,7,2018,DEF,
San Francisco (SF),-3,7,2018,DEF,
Seattle (Sea),,7,2018,DEF,
Tampa Bay (TB),7,7,2018,DEF,
Tennessee (Ten),3,7,2018,DEF,
Washington (Was),15,7,2018,DEF,
Arizona (Ari),8,8,2018,DEF,
Atlanta (Atl),,8,2018,DEF,
Baltimore (Bal),-4,8,2018,DEF,
Buffalo (Buf),3,8,2018,DEF,
Carolina (Car),8,8,2018,DEF,
Chicago (Chi),5,8,2018,DEF,
Cincinnati (Cin),19,8,2018,DEF,
Cleveland (Cle),4,8,2018,DEF,
Dallas (Dal),,8,2018,DEF,
Denver (Den),3,8,2018,DEF,
Detroit (Det),1,8,2018,DEF,
Green Bay (GB),5,8,2018,DEF,
Houston (Hou),4,8,2018,DEF,
Indianapolis (Ind),1,8,2018,DEF,
Jacksonville (Jax),10,8,2018,DEF,
Kansas City (KC),9,8,2018,DEF,
Los Angeles (LAC),,8,2018,DEF,
Los Angeles (LAR),7,8,2018,DEF,
Miami (Mia),-4,8,2018,DEF,
Minnesota (Min),2,8,2018,DEF,
New England (NE),20,8,2018,DEF,
New Orleans (NO),15,8,2018,DEF,
New York (NYG),3,8,2018,DEF,
New York (NYJ),2,8,2018,DEF,
Oakland (Oak),-4,8,2018,DEF,
Philadelphia (Phi),7,8,2018,DEF,
Pittsburgh (Pit),7,8,2018,DEF,
San Francisco (SF),10,8,2018,DEF,
Seattle (Sea),10,8,2018,DEF,
Tampa Bay (TB),1,8,2018,DEF,
Tennessee (Ten),,8,2018,DEF,
Washington (Was),15,8,2018,DEF,
Arizona (Ari),,9,2018,DEF,
Atlanta (Atl),6,9,2018,DEF,
Baltimore (Bal),1,9,2018,DEF,
Buffalo (Buf),2,9,2018,DEF,
Carolina (Car),6,9,2018,DEF,
Chicago (Chi),28,9,2018,DEF,
Cincinnati (Cin),,9,2018,DEF,
Cleveland (Cle),0,9,2018,DEF,
Dallas (Dal),7,9,2018,DEF,
Denver (Den),5,9,2018,DEF,
Detroit (Det),6,9,2018,DEF,
Green Bay (GB),1,9,2018,DEF,
Houston (Hou),5,9,2018,DEF,
Indianapolis (Ind),,9,2018,DEF,
Jacksonville (Jax),,9,2018,DEF,
Kansas City (KC),6,9,2018,DEF,
Los Angeles (LAC),13,9,2018,DEF,
Los Angeles (LAR),-2,9,2018,DEF,
Miami (Mia),25,9,2018,DEF,
Minnesota (Min),22,9,2018,DEF,
New England (NE),4,9,2018,DEF,
New Orleans (NO),-2,9,2018,DEF,
New York (NYG),,9,2018,DEF,
New York (NYJ),8,9,2018,DEF,
Oakland (Oak),-1,9,2018,DEF,
Philadelphia (Phi),,9,2018,DEF,
Pittsburgh (Pit),3,9,2018,DEF,
San Francisco (SF),15,9,2018,DEF,
Seattle (Sea),3,9,2018,DEF,
Tampa Bay (TB),-2,9,2018,DEF,
Tennessee (Ten),10,9,2018,DEF,
Washington (Was),0,9,2018,DEF,
Arizona (Ari),8,10,2018,DEF,
Atlanta (Atl),1,10,2018,DEF,
Baltimore (Bal),,10,2018,DEF,
Buffalo (Buf),11,10,2018,DEF,
Carolina (Car),-3,10,2018,DEF,
Chicago (Chi),12,10,2018,DEF,
Cincinnati (Cin),-4,10,2018,DEF,
Cleveland (Cle),9,10,2018,DEF,
Dallas (Dal),5,10,2018,DEF,
Denver (Den),,10,2018,DEF,
Detroit (Det),0,10,2018,DEF,
Green Bay (GB),14,10,2018,DEF,
Houston (Hou),,10,2018,DEF,
Indianapolis (Ind),2,10,2018,DEF,
Jacksonville (Jax),1,10,2018,DEF,
Kansas City (KC),10,10,2018,DEF,
Los Angeles (LAC),13,10,2018,DEF,
Los Angeles (LAR),5,10,2018,DEF,
Miami (Mia),5,10,2018,DEF,
Minnesota (Min),,10,2018,DEF,
New England (NE),1,10,2018,DEF,
New Orleans (NO),9,10,2018,DEF,
New York (NYG),4,10,2018,DEF,
New York (NYJ),-3,10,2018,DEF,
Oakland (Oak),4,10,2018,DEF,
Philadelphia (Phi),4,10,2018,DEF,
Pittsburgh (Pit),15,10,2018,DEF,
San Francisco (SF),1,10,2018,DEF,
Seattle (Sea),-2,10,2018,DEF,
Tampa Bay (TB),4,10,2018,DEF,
Tennessee (Ten),7,10,2018,DEF,
Washington (Was),17,10,2018,DEF,
Arizona (Ari),4,11,2018,DEF,
Atlanta (Atl),2,11,2018,DEF,
Baltimore (Bal),1,11,2018,DEF,
Buffalo (Buf),,11,2018,DEF,
Carolina (Car),2,11,2018,DEF,
Chicago (Chi),15,11,2018,DEF,
Cincinnati (Cin),5,11,2018,DEF,
Cleveland (Cle),,11,2018,DEF,
Dallas (Dal),6,11,2018,DEF,
Denver (Den),7,11,2018,DEF,
Detroit (Det),6,11,2018,DEF,
Green Bay (GB),5,11,2018,DEF,
Houston (Hou),15,11,2018,DEF,
Indianapolis (Ind),13,11,2018,DEF,
Jacksonville (Jax),9,11,2018,DEF,
Kansas City (KC),11,11,2018,DEF,
Los Angeles (LAC),0,11,2018,DEF,
Los Angeles (LAR),21,11,2018,DEF,
Miami (Mia),,11,2018,DEF,
Minnesota (Min),8,11,2018,DEF,
New England (NE),,11,2018,DEF,
New Orleans (NO),13,11,2018,DEF,
New York (NYG),11,11,2018,DEF,
New York (NYJ),,11,2018,DEF,
Oakland (Oak),5,11,2018,DEF,
Philadelphia (Phi),-4,11,2018,DEF,
Pittsburgh (Pit),9,11,2018,DEF,
San Francisco (SF),,11,2018,DEF,
Seattle (Sea),5,11,2018,DEF,
Tampa Bay (TB),3,11,2018,DEF,
Tennessee (Ten),-4,11,2018,DEF,
Washington (Was),10,11,2018,DEF,
Arizona (Ari),2,12,2018,DEF,
Atlanta (Atl),3,12,2018,DEF,
Baltimore (Bal),18,12,2018,DEF,
Buffalo (Buf),7,12,2018,DEF,
Carolina (Car),1,12,2018,DEF,
Chicago (Chi),13,12,2018,DEF,
Cincinnati (Cin),-4,12,2018,DEF,
Cleveland (Cle),8,12,2018,DEF,
Dallas (Dal),9,12,2018,DEF,
Denver (Den),11,12,2018,DEF,
Detroit (Det),7,12,2018,DEF,
Green Bay (GB),2,12,2018,DEF,
Houston (Hou),9,12,2018,DEF,
Indianapolis (Ind),3,12,2018,DEF,
Jacksonville (Jax),0,12,2018,DEF,
Kansas City (KC),,12,2018,DEF,
Los Angeles (LAC),8,12,2018,DEF,
Los Angeles (LAR),,12,2018,DEF,
Miami (Mia),7,12,2018,DEF,
Minnesota (Min),7,12,2018,DEF,
New England (NE),8,12,2018,DEF,
New Orleans (NO),15,12,2018,DEF,
New York (NYG),3,12,2018,DEF,
New York (NYJ),0,12,2018,DEF,
Oakland (Oak),4,12,2018,DEF,
Philadelphia (Phi),4,12,2018,DEF,
Pittsburgh (Pit),2,12,2018,DEF,
San Francisco (SF),1,12,2018,DEF,
Seattle (Sea),2,12,2018,DEF,
Tampa Bay (TB),12,12,2018,DEF,
Tennessee (Ten),3,12,2018,DEF,
Washington (Was),3,12,2018,DEF,
Arizona (Ari),2,13,2018,DEF,
Atlanta (Atl),11,13,2018,DEF,
Baltimore (Bal),15,13,2018,DEF,
Buffalo (Buf),5,13,2018,DEF,
Carolina (Car),6,13,2018,DEF,
Chicago (Chi),5,13,2018,DEF,
Cincinnati (Cin),4,13,2018,DEF,
Cleveland (Cle),4,13,2018,DEF,
Dallas (Dal),8,13,2018,DEF,
Denver (Den),14,13,2018,DEF,
Detroit (Det),5,13,2018,DEF,
Green Bay (GB),3,13,2018,DEF,
Houston (Hou),18,13,2018,DEF,
Indianapolis (Ind),12,13,2018,DEF,
Jacksonville (Jax),17,13,2018,DEF,
Kansas City (KC),8,13,2018,DEF,
Los Angeles (LAC),8,13,2018,DEF,
Los Angeles (LAR),9,13,2018,DEF,
Miami (Mia),9,13,2018,DEF,
Minnesota (Min),2,13,2018,DEF,
New England (NE),10,13,2018,DEF,
New Orleans (NO),15,13,2018,DEF,
New York (NYG),17,13,2018,DEF,
New York (NYJ),13,13,2018,DEF,
Oakland (Oak),-2,13,2018,DEF,
Philadelphia (Phi),9,13,2018,DEF,
Pittsburgh (Pit),1,13,2018,DEF,
San Francisco (SF),-1,13,2018,DEF,
Seattle (Sea),16,13,2018,DEF,
Tampa Bay (TB),13,13,2018,DEF,
Tennessee (Ten),5,13,2018,DEF,
Washington (Was),1,13,2018,DEF,
Arizona (Ari),7,14,2018,DEF,
Atlanta (Atl),3,14,2018,DEF,
Baltimore (Bal),5,14,2018,DEF,
Buffalo (Buf),4,14,2018,DEF,
Carolina (Car),5,14,2018,DEF,
Chicago (Chi),20,14,2018,DEF,
Cincinnati (Cin),2,14,2018,DEF,
Cleveland (Cle),4,14,2018,DEF,
Dallas (Dal),4,14,2018,DEF,
Denver (Den),6,14,2018,DEF,
Detroit (Det),18,14,2018,DEF,
Green Bay (GB),13,14,2018,DEF,
Houston (Hou),4,14,2018,DEF,
Indianapolis (Ind),5,14,2018,DEF,
Jacksonville (Jax),4,14,2018,DEF,
Kansas City (KC),4,14,2018,DEF,
Los Angeles (LAC),3,14,2018,DEF,
Los Angeles (LAR),11,14,2018,DEF,
Miami (Mia),1,14,2018,DEF,
Minnesota (Min),5,14,2018,DEF,
New England (NE),6,14,2018,DEF,
New Orleans (NO),9,14,2018,DEF,
New York (NYG),18,14,2018,DEF,
New York (NYJ),11,14,2018,DEF,
Oakland (Oak),3,14,2018,DEF,
Philadelphia (Phi),8,14,2018,DEF,
Pittsburgh (Pit),6,14,2018,DEF,
San Francisco (SF),3,14,2018,DEF,
Seattle (Sea),16,14,2018,DEF,
Tampa Bay (TB),4,14,2018,DEF,
Tennessee (Ten),10,14,2018,DEF,
Washington (Was),3,14,2018,DEF,
Arizona (Ari),1,15,2018,DEF,
Atlanta (Atl),20,15,2018,DEF,
Baltimore (Bal),7,15,2018,DEF,
Buffalo (Buf),4,15,2018,DEF,
Carolina (Car),8,15,2018,DEF,
Chicago (Chi),8,15,2018,DEF,
Cincinnati (Cin),10,15,2018,DEF,
Cleveland (Cle),7,15,2018,DEF,
Dallas (Dal),2,15,2018,DEF,
Denver (Den),7,15,2018,DEF,
Detroit (Det),2,15,2018,DEF,
Green Bay (GB),3,15,2018,DEF,
Houston (Hou),5,15,2018,DEF,
Indianapolis (Ind),17,15,2018,DEF,
Jacksonville (Jax),10,15,2018,DEF,
Kansas City (KC),8,15,2018,DEF,
Los Angeles (LAC),1,15,2018,DEF,
Los Angeles (LAR),1,15,2018,DEF,
Miami (Mia),6,15,2018,DEF,
Minnesota (Min),13,15,2018,DEF,
New England (NE),7,15,2018,DEF,
New Orleans (NO),12,15,2018,DEF,
New York (NYG),2,15,2018,DEF,
New York (NYJ),5,15,2018,DEF,
Oakland (Oak),2,15,2018,DEF,
Philadelphia (Phi),8,15,2018,DEF,
Pittsburgh (Pit),7,15,2018,DEF,
San Francisco (SF),9,15,2018,DEF,
Seattle (Sea),5,15,2018,DEF,
Tampa Bay (TB),7,15,2018,DEF,
Tennessee (Ten),17,15,2018,DEF,
Washington (Was),14,15,2018,DEF,
Arizona (Ari),3,16,2018,DEF,
Atlanta (Atl),14,16,2018,DEF,
Baltimore (Bal),20,16,2018,DEF,
Buffalo (Buf),7,16,2018,DEF,
Carolina (Car),5,16,2018,DEF,
Chicago (Chi),7,16,2018,DEF,
Cincinnati (Cin),2,16,2018,DEF,
Cleveland (Cle),4,16,2018,DEF,
Dallas (Dal),14,16,2018,DEF,
Denver (Den),1,16,2018,DEF,
Detroit (Det),2,16,2018,DEF,
Green Bay (GB),-2,16,2018,DEF,
Houston (Hou),6,16,2018,DEF,
Indianapolis (Ind),2,16,2018,DEF,
Jacksonville (Jax),17,16,2018,DEF,
Kansas City (KC),-1,16,2018,DEF,
Los Angeles (LAC),6,16,2018,DEF,
Los Angeles (LAR),8,16,2018,DEF,
Miami (Mia),12,16,2018,DEF,
Minnesota (Min),7,16,2018,DEF,
New England (NE),10,16,2018,DEF,
New Orleans (NO),6,16,2018,DEF,
New York (NYG),2,16,2018,DEF,
New York (NYJ),8,16,2018,DEF,
Oakland (Oak),12,16,2018,DEF,
Philadelphia (Phi),5,16,2018,DEF,
Pittsburgh (Pit),5,16,2018,DEF,
San Francisco (SF),8,16,2018,DEF,
Seattle (Sea),4,16,2018,DEF,
Tampa Bay (TB),1,16,2018,DEF,
Tennessee (Ten),13,16,2018,DEF,
Washington (Was),4,16,2018,DEF,
Arizona (Ari),16,17,2018,DEF,
Atlanta (Atl),2,17,2018,DEF,
Baltimore (Bal),6,17,2018,DEF,
Buffalo (Buf),18,17,2018,DEF,
Carolina (Car),5,17,2018,DEF,
Chicago (Chi),8,17,2018,DEF,
Cincinnati (Cin),10,17,2018,DEF,
Cleveland (Cle),4,17,2018,DEF,
Dallas (Dal),1,17,2018,DEF,
Denver (Den),10,17,2018,DEF,
Detroit (Det),15,17,2018,DEF,
Green Bay (GB),0,17,2018,DEF,
Houston (Hou),14,17,2018,DEF,
Indianapolis (Ind),10,17,2018,DEF,
Jacksonville (Jax),9,17,2018,DEF,
Kansas City (KC),24,17,2018,DEF,
Los Angeles (LAC),21,17,2018,DEF,
Los Angeles (LAR),16,17,2018,DEF,
Miami (Mia),5,17,2018,DEF,
Minnesota (Min),0,17,2018,DEF,
New England (NE),23,17,2018,DEF,
New Orleans (NO),0,17,2018,DEF,
New York (NYG),2,17,2018,DEF,
New York (NYJ),0,17,2018,DEF,
Oakland (Oak),1,17,2018,DEF,
Philadelphia (Phi),16,17,2018,DEF,
Pittsburgh (Pit),8,17,2018,DEF,
San Francisco (SF),-4,17,2018,DEF,
Seattle (Sea),10,17,2018,DEF,
Tampa Bay (TB),2,17,2018,DEF,
Tennessee (Ten),10,17,2018,DEF,
Washington (Was),5,17,2018,DEF,
Arizona (Ari),8,1,2017,DEF,
Atlanta (Atl),5,1,2017,DEF,
Baltimore (Bal),25,1,2017,DEF,
Buffalo (Buf),9,1,2017,DEF,
Carolina (Car),15,1,2017,DEF,
Chicago (Chi),2,1,2017,DEF,
Cincinnati (Cin),4,1,2017,DEF,
Cleveland (Cle),3,1,2017,DEF,
Dallas (Dal),12,1,2017,DEF,
Denver (Den),5,1,2017,DEF,
Detroit (Det),16,1,2017,DEF,
Green Bay (GB),9,1,2017,DEF,
Houston (Hou),0,1,2017,DEF,
Indianapolis (Ind),2,1,2017,DEF,
Jacksonville (Jax),28,1,2017,DEF,
Kansas City (KC),3,1,2017,DEF,
Los Angeles (LAC),8,1,2017,DEF,
Los Angeles (LAR),28,1,2017,DEF,
Miami (Mia),,1,2017,DEF,
Minnesota (Min),2,1,2017,DEF,
New England (NE),1,1,2017,DEF,
New Orleans (NO),0,1,2017,DEF,
New York (NYG),2,1,2017,DEF,
New York (NYJ),4,1,2017,DEF,
Oakland (Oak),2,1,2017,DEF,
Philadelphia (Phi),22,1,2017,DEF,
Pittsburgh (Pit),18,1,2017,DEF,
San Francisco (SF),4,1,2017,DEF,
Seattle (Sea),7,1,2017,DEF,
Tampa Bay (TB),,1,2017,DEF,
Tennessee (Ten),2,1,2017,DEF,
Washington (Was),12,1,2017,DEF,
Arizona (Ari),10,2,2017,DEF,
Atlanta (Atl),13,2,2017,DEF,
Baltimore (Bal),17,2,2017,DEF,
Buffalo (Buf),10,2,2017,DEF,
Carolina (Car),10,2,2017,DEF,
Chicago (Chi),4,2,2017,DEF,
Cincinnati (Cin),7,2,2017,DEF,
Cleveland (Cle),6,2,2017,DEF,
Dallas (Dal),2,2,2017,DEF,
Denver (Den),13,2,2017,DEF,
Detroit (Det),17,2,2017,DEF,
Green Bay (GB),2,2,2017,DEF,
Houston (Hou),9,2,2017,DEF,
Indianapolis (Ind),7,2,2017,DEF,
Jacksonville (Jax),-1,2,2017,DEF,
Kansas City (KC),11,2,2017,DEF,
Los Angeles (LAC),3,2,2017,DEF,
Los Angeles (LAR),2,2,2017,DEF,
Miami (Mia),2,2,2017,DEF,
Minnesota (Min),2,2,2017,DEF,
New England (NE),2,2,2017,DEF,
New Orleans (NO),-2,2,2017,DEF,
New York (NYG),5,2,2017,DEF,
New York (NYJ),-4,2,2017,DEF,
Oakland (Oak),9,2,2017,DEF,
Philadelphia (Phi),4,2,2017,DEF,
Pittsburgh (Pit),8,2,2017,DEF,
San Francisco (SF),7,2,2017,DEF,
Seattle (Sea),8,2,2017,DEF,
Tampa Bay (TB),19,2,2017,DEF,
Tennessee (Ten),9,2,2017,DEF,
Washington (Was),7,2,2017,DEF,
Arizona (Ari),0,3,2017,DEF,
Atlanta (Atl),3,3,2017,DEF,
Baltimore (Bal),-4,3,2017,DEF,
Buffalo (Buf),8,3,2017,DEF,
Carolina (Car),0,3,2017,DEF,
Chicago (Chi),10,3,2017,DEF,
Cincinnati (Cin),14,3,2017,DEF,
Cleveland (Cle),4,3,2017,DEF,
Dallas (Dal),7,3,2017,DEF,
Denver (Den),4,3,2017,DEF,
Detroit (Det),13,3,2017,DEF,
Green Bay (GB),6,3,2017,DEF,
Houston (Hou),9,3,2017,DEF,
Indianapolis (Ind),6,3,2017,DEF,
Jacksonville (Jax),12,3,2017,DEF,
Kansas City (KC),12,3,2017,DEF,
Los Angeles (LAC),5,3,2017,DEF,
Los Angeles (LAR),4,3,2017,DEF,
Miami (Mia),5,3,2017,DEF,
Minnesota (Min),9,3,2017,DEF,
New England (NE),6,3,2017,DEF,
New Orleans (NO),14,3,2017,DEF,
New York (NYG),5,3,2017,DEF,
New York (NYJ),14,3,2017,DEF,
Oakland (Oak),5,3,2017,DEF,
Philadelphia (Phi),4,3,2017,DEF,
Pittsburgh (Pit),6,3,2017,DEF,
San Francisco (SF),0,3,2017,DEF,
Seattle (Sea),-1,3,2017,DEF,
Tampa Bay (TB),-1,3,2017,DEF,
Tennessee (Ten),1,3,2017,DEF,
Washington (Was),14,3,2017,DEF,
Arizona (Ari),6,4,2017,DEF,
Atlanta (Atl),4,4,2017,DEF,
Baltimore (Bal),3,4,2017,DEF,
Buffalo (Buf),14,4,2017,DEF,
Carolina (Car),2,4,2017,DEF,
Chicago (Chi),-2,4,2017,DEF,
Cincinnati (Cin),8,4,2017,DEF,
Cleveland (Cle),4,4,2017,DEF,
Dallas (Dal),-3,4,2017,DEF,
Denver (Den),9,4,2017,DEF,
Detroit (Det),12,4,2017,DEF,
Green Bay (GB),10,4,2017,DEF,
Houston (Hou),19,4,2017,DEF,
Indianapolis (Ind),8,4,2017,DEF,
Jacksonville (Jax),15,4,2017,DEF,
Kansas City (KC),9,4,2017,DEF,
Los Angeles (LAC),1,4,2017,DEF,
Los Angeles (LAR),5,4,2017,DEF,
Miami (Mia),2,4,2017,DEF,
Minnesota (Min),7,4,2017,DEF,
New England (NE),5,4,2017,DEF,
New Orleans (NO),16,4,2017,DEF,
New York (NYG),1,4,2017,DEF,
New York (NYJ),4,4,2017,DEF,
Oakland (Oak),5,4,2017,DEF,
Philadelphia (Phi),4,4,2017,DEF,
Pittsburgh (Pit),14,4,2017,DEF,
San Francisco (SF),9,4,2017,DEF,
Seattle (Sea),20,4,2017,DEF,
Tampa Bay (TB),0,4,2017,DEF,
Tennessee (Ten),0,4,2017,DEF,
Washington (Was),4,4,2017,DEF,
Arizona (Ari),2,5,2017,DEF,
Atlanta (Atl),,5,2017,DEF,
Baltimore (Bal),12,5,2017,DEF,
Buffalo (Buf),8,5,2017,DEF,
Carolina (Car),8,5,2017,DEF,
Chicago (Chi),7,5,2017,DEF,
Cincinnati (Cin),9,5,2017,DEF,
Cleveland (Cle),6,5,2017,DEF,
Dallas (Dal),5,5,2017,DEF,
Denver (Den),,5,2017,DEF,
Detroit (Det),3,5,2017,DEF,
Green Bay (GB),12,5,2017,DEF,
Houston (Hou),-3,5,2017,DEF,
Indianapolis (Ind),2,5,2017,DEF,
Jacksonville (Jax),28,5,2017,DEF,
Kansas City (KC),10,5,2017,DEF,
Los Angeles (LAC),10,5,2017,DEF,
Los Angeles (LAR),8,5,2017,DEF,
Miami (Mia),20,5,2017,DEF,
Minnesota (Min),6,5,2017,DEF,
New England (NE),3,5,2017,DEF,
New Orleans (NO),,5,2017,DEF,
New York (NYG),4,5,2017,DEF,
New York (NYJ),8,5,2017,DEF,
Oakland (Oak),0,5,2017,DEF,
Philadelphia (Phi),8,5,2017,DEF,
Pittsburgh (Pit),5,5,2017,DEF,
San Francisco (SF),6,5,2017,DEF,
Seattle (Sea),14,5,2017,DEF,
Tampa Bay (TB),8,5,2017,DEF,
Tennessee (Ten),9,5,2017,DEF,
Washington (Was),,5,2017,DEF,
Arizona (Ari),6,6,2017,DEF,
Atlanta (Atl),3,6,2017,DEF,
Baltimore (Bal),20,6,2017,DEF,
Buffalo (Buf),,6,2017,DEF,
Carolina (Car),4,6,2017,DEF,
Chicago (Chi),15,6,2017,DEF,
Cincinnati (Cin),,6,2017,DEF,
Cleveland (Cle),9,6,2017,DEF,
Dallas (Dal),,6,2017,DEF,
Denver (Den),6,6,2017,DEF,
Detroit (Det),17,6,2017,DEF,
Green Bay (GB),4,6,2017,DEF,
Houston (Hou),22,6,2017,DEF,
Indianapolis (Ind),5,6,2017,DEF,
Jacksonville (Jax),5,6,2017,DEF,
Kansas City (KC),4,6,2017,DEF,
Los Angeles (LAC),6,6,2017,DEF,
Los Angeles (LAR),22,6,2017,DEF,
Miami (Mia),5,6,2017,DEF,
Minnesota (Min),14,6,2017,DEF,
New England (NE),9,6,2017,DEF,
New Orleans (NO),32,6,2017,DEF,
New York (NYG),22,6,2017,DEF,
New York (NYJ),4,6,2017,DEF,
Oakland (Oak),4,6,2017,DEF,
Philadelphia (Phi),8,6,2017,DEF,
Pittsburgh (Pit),9,6,2017,DEF,
San Francisco (SF),5,6,2017,DEF,
Seattle (Sea),,6,2017,DEF,
Tampa Bay (TB),8,6,2017,DEF,
Tennessee (Ten),4,6,2017,DEF,
Washington (Was),5,6,2017,DEF,
Arizona (Ari),2,7,2017,DEF,
Atlanta (Atl),2,7,2017,DEF,
Baltimore (Bal),2,7,2017,DEF,
Buffalo (Buf),7,7,2017,DEF,
Carolina (Car),13,7,2017,DEF,
Chicago (Chi),30,7,2017,DEF,
Cincinnati (Cin),-1,7,2017,DEF,
Cleveland (Cle),8,7,2017,DEF,
Dallas (Dal),15,7,2017,DEF,
Denver (Den),3,7,2017,DEF,
Detroit (Det),,7,2017,DEF,
Green Bay (GB),5,7,2017,DEF,
Houston (Hou),,7,2017,DEF,
Indianapolis (Ind),5,7,2017,DEF,
Jacksonville (Jax),20,7,2017,DEF,
Kansas City (KC),1,7,2017,DEF,
Los Angeles (LAC),27,7,2017,DEF,
Los Angeles (LAR),17,7,2017,DEF,
Miami (Mia),6,7,2017,DEF,
Minnesota (Min),6,7,2017,DEF,
New England (NE),7,7,2017,DEF,
New Orleans (NO),4,7,2017,DEF,
New York (NYG),3,7,2017,DEF,
New York (NYJ),6,7,2017,DEF,
Oakland (Oak),0,7,2017,DEF,
Philadelphia (Phi),6,7,2017,DEF,
Pittsburgh (Pit),9,7,2017,DEF,
San Francisco (SF),-4,7,2017,DEF,
Seattle (Sea),7,7,2017,DEF,
Tampa Bay (TB),2,7,2017,DEF,
Tennessee (Ten),12,7,2017,DEF,
