Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
12,Cousin's Familia,Win,95.92 - 78.38,95.92,A bunch of Jerry's,2018
13,Ridley Me That,Loss,79.44 - 120.82,79.44,A bunch of Jerry's,2018
1,Daniel's Stormies,Loss,103.90 - 107.82,103.9,Gronkey Kong,2018
2,Cousin's Familia,Loss,113.24 - 125.60,113.24,Gronkey Kong,2018
3,Ridley Me That,Loss,96.22 - 105.80,96.22,Gronkey Kong,2018
4,Show Me Your TD's,Loss,108.66 - 144.20,108.66,Gronkey Kong,2018
5,Steelers SIXcess,Loss,77.20 - 82.58,77.2,Gronkey Kong,2018
6,SUCK MY DITKA!!,Win,124.36 - 113.18,124.36,Gronkey Kong,2018
7,Suh Girls One Kupp,Loss,88.86 - 89.98,88.86,Gronkey Kong,2018
8,A bunch of Jerry's,Loss,70.98 - 113.86,70.98,Gronkey Kong,2018
9,Thunder Horse,Loss,88.90 - 103.20,88.9,Gronkey Kong,2018
10,Admiral Ackbar's Ass,Win,151.32 - 120.14,151.32,Gronkey Kong,2018
11,MR. T's Cereal,Win,125.86 - 110.64,125.86,Gronkey Kong,2018
12,Daniel's Stormies,Loss,87.08 - 118.24,87.08,Gronkey Kong,2018
13,Cousin's Familia,Loss,82.54 - 89.74,82.54,Gronkey Kong,2018
1,Steelers SIXcess,Win,127.66 - 95.84,127.66,Thunder Horse,2018
2,MR. T's Cereal,Loss,99.82 - 103.24,99.82,Thunder Horse,2018
3,SUCK MY DITKA!!,Loss,89.86 - 100.48,89.86,Thunder Horse,2018
4,Daniel's Stormies,Loss,72.96 - 99.02,72.96,Thunder Horse,2018
5,Suh Girls One Kupp,Loss,107.00 - 132.12,107,Thunder Horse,2018
6,Cousin's Familia,Loss,97.78 - 113.80,97.78,Thunder Horse,2018
7,A bunch of Jerry's,Win,133.72 - 107.18,133.72,Thunder Horse,2018
8,Ridley Me That,Win,135.32 - 97.24,135.32,Thunder Horse,2018
9,Gronkey Kong,Win,103.20 - 88.90,103.2,Thunder Horse,2018
10,Show Me Your TD's,Loss,78.06 - 86.32,78.06,Thunder Horse,2018
11,Admiral Ackbar's Ass,Win,109.42 - 96.84,109.42,Thunder Horse,2018
12,Steelers SIXcess,Loss,108.14 - 113.62,108.14,Thunder Horse,2018
13,MR. T's Cereal,Win,107.86 - 95.56,107.86,Thunder Horse,2018
Playoffs Qtr,Daniel's Stormies,Loss,62.8 - 153.82,62.8,Steelers SIXcess,2018
Playoffs Qtr,Steelers SIXcess,Win,153.82 - 62.8,153.82,Daniel's Stormies,2018
Playoffs Qtr,MR. T's Cereal,Loss,81.78 - 84.70,81.78,Show Me Your TD's,2018
Playoffs Qtr,Show Me Your TD's,Win,84.7 - 81.78,84.7,MR. T's Cereal,2018
Playoffs Semi,Daniel's Stormies,Win,113.78 - 63.18,113.78,Suh Girls One Kupp,2018
Playoffs Semi,Suh Girls One Kupp,Loss,63.18 - 113.78,63.18,Daniel's Stormies,2018
Playoffs Semi,SUCK MY DITKA!!,Loss,77.52 - 112.78,77.52,MR. T's Cereal,2018
Playoffs Semi,MR. T's Cereal,Win,112.78 - 77.52,112.78,SUCK MY DITKA!!,2018
Playoffs 5th,Show Me Your TD's,Loss,90.54 - 106.86,90.54,Steelers SIXcess,2018
Playoffs 5th,Steelers SIXcess,Win,106.86 - 90.54,106.86,Show Me Your TD's,2018
Playoffs Champ,SUCK MY DITKA!!,Loss,114.16 - 127.14,114.16,Suh Girls One Kupp,2018
Playoffs Champ,Suh Girls One Kupp,Win,127.14 - 114.16,127.14,SUCK MY DITKA!!,2018
Playoffs 3rd,MR. T's Cereal,Win,117.54 - 81.04,117.54,Daniel's Stormies,2018
Playoffs 3rd,Daniel's Stormies,Loss,81.04 - 117.54,81.04,MR. T's Cereal,2018
Consolation 11th,Cousin's Familia,Win,95.66 - 70.74,95.66,A bunch of Jerry's,2018
Consolation 11th,A bunch of Jerry's,Loss,70.74 - 95.66,70.74,Cousin's Familia,2018
Consolation 9th,Admiral Ackbar's Ass,Win,113.02 - 102.54,113.02,Gronkey Kong,2018
Consolation 9th,Gronkey Kong,Loss,102.54 - 113.02,102.54,Admiral Ackbar's Ass,2018
Consolation Champ,Thunder Horse,Win,132.48 - 98.22,132.48,Ridley Me That,2018
Consolation Champ,Ridley Me That,Loss,98.22 - 132.48,98.22,Thunder Horse,2018
Consolation Qtr,Cousin's Familia,Win,144.58 - 78.08,144.58,Gronkey Kong,2018
Consolation Qtr,A bunch of Jerry's,Win,86.32 - 81.02,86.32,Admiral Ackbar's Ass,2018
Consolation Qtr,Admiral Ackbar's Ass,Loss,81.02 - 86.32,81.02,A bunch of Jerry's,2018
Consolation Qtr,Gronkey Kong,Loss,78.08 - 144.58,78.08,Cousin's Familia,2018
Consolation Semi,Gronkey Kong,Win,73.16 - 56.3,73.16,Ridley Me That,2018
Consolation Semi,Ridley Me That,Loss,56.3 - 73.16,56.3,Gronkey Kong,2018
Consolation Semi,Admiral Ackbar's Ass,Win,98.42 - 79.02,98.42,Thunder Horse,2018
Consolation Semi,Thunder Horse,Loss,79.02 - 98.42,79.02,Admiral Ackbar's Ass,2018
1,Cheap Vodka,Loss,73.72 - 101.20,73.72,Admiral Ackbar's Ass,2017
2,He Hate Me,Loss,84.22 - 100.80,84.22,Admiral Ackbar's Ass,2017
3,Ginger Kids,Loss,100.20 - 114.40,100.2,Admiral Ackbar's Ass,2017
4,Show Me Your TD's,Loss,74.14 - 78.02,74.14,Admiral Ackbar's Ass,2017
5,Mr. Thiel Your Gurl,Loss,67.08 - 78.74,67.08,Admiral Ackbar's Ass,2017
6,SUCK MY DITKA!,Loss,80.98 - 114.86,80.98,Admiral Ackbar's Ass,2017
7,Team Carrizard,Loss,69.86 - 97.38,69.86,Admiral Ackbar's Ass,2017
8,The Cucumber Curse,Loss,77.28 - 94.62,77.28,Admiral Ackbar's Ass,2017
9,Steelers SIXcess,Win,127.90 - 69.92,127.9,Admiral Ackbar's Ass,2017
10,Thunder Horse,Loss,86.58 - 88.52,86.58,Admiral Ackbar's Ass,2017
11,The Dakstreet Boys,Loss,54.78 - 100.90,54.78,Admiral Ackbar's Ass,2017
12,Cheap Vodka,Tie,96.24 - 96.24,96.24,Admiral Ackbar's Ass,2017
13,He Hate Me,Loss,75.40 - 122.02,75.4,Admiral Ackbar's Ass,2017
1,Admiral Ackbar's Ass,Win,101.20 - 73.72,101.2,Cheap Vodka,2017
2,The Dakstreet Boys,Loss,90.26 - 90.62,90.26,Cheap Vodka,2017
3,He Hate Me,Win,83.12 - 80.94,83.12,Cheap Vodka,2017
4,Ginger Kids,Win,117.58 - 113.30,117.58,Cheap Vodka,2017
5,Show Me Your TD's,Win,81.36 - 69.90,81.36,Cheap Vodka,2017
6,Mr. Thiel Your Gurl,Loss,88.94 - 92.02,88.94,Cheap Vodka,2017
7,SUCK MY DITKA!,Loss,84.66 - 122.44,84.66,Cheap Vodka,2017
8,Team Carrizard,Loss,73.60 - 87.92,73.6,Cheap Vodka,2017
9,The Cucumber Curse,Loss,48.18 - 81.76,48.18,Cheap Vodka,2017
10,Steelers SIXcess,Loss,56.94 - 65.10,56.94,Cheap Vodka,2017
11,Thunder Horse,Loss,90.76 - 111.52,90.76,Cheap Vodka,2017
12,Admiral Ackbar's Ass,Tie,96.24 - 96.24,96.24,Cheap Vodka,2017
13,The Dakstreet Boys,Win,123.24 - 115.48,123.24,Cheap Vodka,2017
1,Thunder Horse,Win,85.64 - 78.42,85.64,He Hate Me,2017
2,Admiral Ackbar's Ass,Win,100.80 - 84.22,100.8,He Hate Me,2017
3,Cheap Vodka,Loss,80.94 - 83.12,80.94,He Hate Me,2017
4,The Dakstreet Boys,Loss,80.14 - 89.68,80.14,He Hate Me,2017
5,Ginger Kids,Loss,114.76 - 121.66,114.76,He Hate Me,2017
6,Show Me Your TD's,Win,102.18 - 48.34,102.18,He Hate Me,2017
7,Mr. Thiel Your Gurl,Win,91.42 - 87.22,91.42,He Hate Me,2017
8,SUCK MY DITKA!,Loss,101.94 - 134.46,101.94,He Hate Me,2017
9,Team Carrizard,Win,91.56 - 84.20,91.56,He Hate Me,2017
10,The Cucumber Curse,Loss,88.46 - 94.34,88.46,He Hate Me,2017
11,Steelers SIXcess,Win,106.12 - 102.30,106.12,He Hate Me,2017
12,Thunder Horse,Win,121.58 - 104.32,121.58,He Hate Me,2017
13,Admiral Ackbar's Ass,Win,122.02 - 75.40,122.02,He Hate Me,2017
1,Steelers SIXcess,Win,133.60 - 94.44,133.6,Ginger Kids,2017
2,Thunder Horse,Win,82.16 - 73.32,82.16,Ginger Kids,2017
3,Admiral Ackbar's Ass,Win,114.40 - 100.20,114.4,Ginger Kids,2017
4,Cheap Vodka,Loss,113.30 - 117.58,113.3,Ginger Kids,2017
5,He Hate Me,Win,121.66 - 114.76,121.66,Ginger Kids,2017
6,The Dakstreet Boys,Loss,84.70 - 98.00,84.7,Ginger Kids,2017
7,Show Me Your TD's,Win,107.82 - 78.54,107.82,Ginger Kids,2017
8,Mr. Thiel Your Gurl,Win,111.92 - 108.00,111.92,Ginger Kids,2017
9,SUCK MY DITKA!,Win,96.32 - 82.78,96.32,Ginger Kids,2017
10,Team Carrizard,Win,105.98 - 99.10,105.98,Ginger Kids,2017
11,The Cucumber Curse,Loss,95.90 - 105.00,95.9,Ginger Kids,2017
12,Steelers SIXcess,Win,97.68 - 61.78,97.68,Ginger Kids,2017
13,Thunder Horse,Loss,98.34 - 101.48,98.34,Ginger Kids,2017
1,The Cucumber Curse,Win,88.44 - 52.38,88.44,Show Me Your TD's,2017
2,Steelers SIXcess,Win,98.44 - 85.98,98.44,Show Me Your TD's,2017
3,Thunder Horse,Loss,83.30 - 106.26,83.3,Show Me Your TD's,2017
4,Admiral Ackbar's Ass,Win,78.02 - 74.14,78.02,Show Me Your TD's,2017
5,Cheap Vodka,Loss,69.90 - 81.36,69.9,Show Me Your TD's,2017
6,He Hate Me,Loss,48.34 - 102.18,48.34,Show Me Your TD's,2017
7,Ginger Kids,Loss,78.54 - 107.82,78.54,Show Me Your TD's,2017
8,The Dakstreet Boys,Win,98.36 - 72.82,98.36,Show Me Your TD's,2017
9,Mr. Thiel Your Gurl,Loss,91.72 - 97.00,91.72,Show Me Your TD's,2017
10,SUCK MY DITKA!,Loss,76.56 - 144.46,76.56,Show Me Your TD's,2017
11,Team Carrizard,Win,93.40 - 78.18,93.4,Show Me Your TD's,2017
12,The Cucumber Curse,Loss,84.84 - 138.98,84.84,Show Me Your TD's,2017
13,Steelers SIXcess,Loss,70.36 - 74.32,70.36,Show Me Your TD's,2017
1,Team Carrizard,Win,70.84 - 51.68,70.84,Mr. Thiel Your Gurl,2017
2,The Cucumber Curse,Loss,106.12 - 121.48,106.12,Mr. Thiel Your Gurl,2017
3,Steelers SIXcess,Win,114.12 - 88.56,114.12,Mr. Thiel Your Gurl,2017
4,Thunder Horse,Loss,87.16 - 89.80,87.16,Mr. Thiel Your Gurl,2017
5,Admiral Ackbar's Ass,Win,78.74 - 67.08,78.74,Mr. Thiel Your Gurl,2017
6,Cheap Vodka,Win,92.02 - 88.94,92.02,Mr. Thiel Your Gurl,2017
7,He Hate Me,Loss,87.22 - 91.42,87.22,Mr. Thiel Your Gurl,2017
8,Ginger Kids,Loss,108.00 - 111.92,108,Mr. Thiel Your Gurl,2017
9,Show Me Your TD's,Win,97.00 - 91.72,97,Mr. Thiel Your Gurl,2017
10,The Dakstreet Boys,Win,102.44 - 71.94,102.44,Mr. Thiel Your Gurl,2017
11,SUCK MY DITKA!,Loss,92.00 - 104.64,92,Mr. Thiel Your Gurl,2017
12,Team Carrizard,Win,106.76 - 79.96,106.76,Mr. Thiel Your Gurl,2017
13,The Cucumber Curse,Win,121.64 - 73.02,121.64,Mr. Thiel Your Gurl,2017
1,The Dakstreet Boys,Loss,77.84 - 94.42,77.84,SUCK MY DITKA!,2017
2,Team Carrizard,Loss,47.92 - 118.50,47.92,SUCK MY DITKA!,2017
3,The Cucumber Curse,Loss,73.28 - 88.52,73.28,SUCK MY DITKA!,2017
4,Steelers SIXcess,Win,135.46 - 62.78,135.46,SUCK MY DITKA!,2017
5,Thunder Horse,Win,86.60 - 69.22,86.6,SUCK MY DITKA!,2017
6,Admiral Ackbar's Ass,Win,114.86 - 80.98,114.86,SUCK MY DITKA!,2017
7,Cheap Vodka,Win,122.44 - 84.66,122.44,SUCK MY DITKA!,2017
8,He Hate Me,Win,134.46 - 101.94,134.46,SUCK MY DITKA!,2017
9,Ginger Kids,Loss,82.78 - 96.32,82.78,SUCK MY DITKA!,2017
10,Show Me Your TD's,Win,144.46 - 76.56,144.46,SUCK MY DITKA!,2017
11,Mr. Thiel Your Gurl,Win,104.64 - 92.00,104.64,SUCK MY DITKA!,2017
12,The Dakstreet Boys,Win,102.12 - 73.30,102.12,SUCK MY DITKA!,2017
13,Team Carrizard,Win,116.96 - 69.60,116.96,SUCK MY DITKA!,2017
1,Mr. Thiel Your Gurl,Loss,51.68 - 70.84,51.68,Team Carrizard,2017
2,SUCK MY DITKA!,Win,118.50 - 47.92,118.5,Team Carrizard,2017
3,The Dakstreet Boys,Loss,55.82 - 117.12,55.82,Team Carrizard,2017
4,The Cucumber Curse,Win,83.82 - 63.08,83.82,Team Carrizard,2017
5,Steelers SIXcess,Loss,67.02 - 104.52,67.02,Team Carrizard,2017
6,Thunder Horse,Loss,78.64 - 101.18,78.64,Team Carrizard,2017
7,Admiral Ackbar's Ass,Win,97.38 - 69.86,97.38,Team Carrizard,2017
8,Cheap Vodka,Win,87.92 - 73.60,87.92,Team Carrizard,2017
9,He Hate Me,Loss,84.20 - 91.56,84.2,Team Carrizard,2017
10,Ginger Kids,Loss,99.10 - 105.98,99.1,Team Carrizard,2017
11,Show Me Your TD's,Loss,78.18 - 93.40,78.18,Team Carrizard,2017
12,Mr. Thiel Your Gurl,Loss,79.96 - 106.76,79.96,Team Carrizard,2017
13,SUCK MY DITKA!,Loss,69.60 - 116.96,69.6,Team Carrizard,2017
1,Show Me Your TD's,Loss,52.38 - 88.44,52.38,The Cucumber Curse,2017
2,Mr. Thiel Your Gurl,Win,121.48 - 106.12,121.48,The Cucumber Curse,2017
3,SUCK MY DITKA!,Win,88.52 - 73.28,88.52,The Cucumber Curse,2017
4,Team Carrizard,Loss,63.08 - 83.82,63.08,The Cucumber Curse,2017
5,The Dakstreet Boys,Loss,82.62 - 119.14,82.62,The Cucumber Curse,2017
6,Steelers SIXcess,Loss,88.28 - 104.62,88.28,The Cucumber Curse,2017
7,Thunder Horse,Loss,83.66 - 88.46,83.66,The Cucumber Curse,2017
8,Admiral Ackbar's Ass,Win,94.62 - 77.28,94.62,The Cucumber Curse,2017
9,Cheap Vodka,Win,81.76 - 48.18,81.76,The Cucumber Curse,2017
10,He Hate Me,Win,94.34 - 88.46,94.34,The Cucumber Curse,2017
11,Ginger Kids,Win,105.00 - 95.90,105,The Cucumber Curse,2017
12,Show Me Your TD's,Win,138.98 - 84.84,138.98,The Cucumber Curse,2017
13,Mr. Thiel Your Gurl,Loss,73.02 - 121.64,73.02,The Cucumber Curse,2017
1,Ginger Kids,Loss,94.44 - 133.60,94.44,Steelers SIXcess,2017
2,Show Me Your TD's,Loss,85.98 - 98.44,85.98,Steelers SIXcess,2017
3,Mr. Thiel Your Gurl,Loss,88.56 - 114.12,88.56,Steelers SIXcess,2017
4,SUCK MY DITKA!,Loss,62.78 - 135.46,62.78,Steelers SIXcess,2017
5,Team Carrizard,Win,104.52 - 67.02,104.52,Steelers SIXcess,2017
6,The Cucumber Curse,Win,104.62 - 88.28,104.62,Steelers SIXcess,2017
7,The Dakstreet Boys,Loss,89.62 - 119.06,89.62,Steelers SIXcess,2017
8,Thunder Horse,Loss,91.86 - 110.68,91.86,Steelers SIXcess,2017
9,Admiral Ackbar's Ass,Loss,69.92 - 127.90,69.92,Steelers SIXcess,2017
10,Cheap Vodka,Win,65.10 - 56.94,65.1,Steelers SIXcess,2017
11,He Hate Me,Loss,102.30 - 106.12,102.3,Steelers SIXcess,2017
12,Ginger Kids,Loss,61.78 - 97.68,61.78,Steelers SIXcess,2017
13,Show Me Your TD's,Win,74.32 - 70.36,74.32,Steelers SIXcess,2017
1,He Hate Me,Loss,78.42 - 85.64,78.42,Thunder Horse,2017
2,Ginger Kids,Loss,73.32 - 82.16,73.32,Thunder Horse,2017
3,Show Me Your TD's,Win,106.26 - 83.30,106.26,Thunder Horse,2017
4,Mr. Thiel Your Gurl,Win,89.80 - 87.16,89.8,Thunder Horse,2017
5,SUCK MY DITKA!,Loss,69.22 - 86.60,69.22,Thunder Horse,2017
6,Team Carrizard,Win,101.18 - 78.64,101.18,Thunder Horse,2017
7,The Cucumber Curse,Win,88.46 - 83.66,88.46,Thunder Horse,2017
8,Steelers SIXcess,Win,110.68 - 91.86,110.68,Thunder Horse,2017
9,The Dakstreet Boys,Loss,82.28 - 89.46,82.28,Thunder Horse,2017
10,Admiral Ackbar's Ass,Win,88.52 - 86.58,88.52,Thunder Horse,2017
11,Cheap Vodka,Win,111.52 - 90.76,111.52,Thunder Horse,2017
12,He Hate Me,Loss,104.32 - 121.58,104.32,Thunder Horse,2017
13,Ginger Kids,Win,101.48 - 98.34,101.48,Thunder Horse,2017
1,SUCK MY DITKA!,Win,94.42 - 77.84,94.42,The Dakstreet Boys,2017
2,Cheap Vodka,Win,90.62 - 90.26,90.62,The Dakstreet Boys,2017
3,Team Carrizard,Win,117.12 - 55.82,117.12,The Dakstreet Boys,2017
4,He Hate Me,Win,89.68 - 80.14,89.68,The Dakstreet Boys,2017
5,The Cucumber Curse,Win,119.14 - 82.62,119.14,The Dakstreet Boys,2017
6,Ginger Kids,Win,98.00 - 84.70,98,The Dakstreet Boys,2017
7,Steelers SIXcess,Win,119.06 - 89.62,119.06,The Dakstreet Boys,2017
8,Show Me Your TD's,Loss,72.82 - 98.36,72.82,The Dakstreet Boys,2017
9,Thunder Horse,Win,89.46 - 82.28,89.46,The Dakstreet Boys,2017
10,Mr. Thiel Your Gurl,Loss,71.94 - 102.44,71.94,The Dakstreet Boys,2017
11,Admiral Ackbar's Ass,Win,100.90 - 54.78,100.9,The Dakstreet Boys,2017
12,SUCK MY DITKA!,Loss,73.30 - 102.12,73.3,The Dakstreet Boys,2017
13,Cheap Vodka,Loss,115.48 - 123.24,115.48,The Dakstreet Boys,2017
Playoffs Qtr,Mr. Thiel Your Gurl,Win,110.34 - 79.74,110.34,He Hate Me,2017
Playoffs Qtr,He Hate Me,Loss,79.74 -110.34,79.74,Mr. Thiel Your Gurl,2017
Playoffs Qtr,Thunder Horse,Win,115.98 - 111.64,115.98,The Dakstreet Boys,2017
Playoffs Qtr,The Dakstreet Boys,Loss,111.64 - 115.98,111.64,Thunder Horse,2017
Playoffs Semi,He Hate Me,Win,119.54 - 109.64,119.54,Ginger Kids,2017
Playoffs Semi,Ginger Kids,Loss,109.64 - 119.54,109.64,He Hate Me,2017
Playoffs Semi,SUCK MY DITKA!,Loss,102.68 - 135.38,102.68,The Dakstreet Boys,2017
Playoffs Semi,The Dakstreet Boys,Win,135.38 - 102.68,135.38,SUCK MY DITKA!,2017
Playoffs 5th,Thunder Horse,Win,132.8 - 61.48,132.8,Mr. Thiel Your Gurl,2017
Playoffs 5th,Mr. Thiel Your Gurl,Loss,61.48 - 132.8,61.48,Thunder Horse,2017
Playoffs Champ,SUCK MY DITKA!,Loss,71.82 - 106.44,71.82,Ginger Kids,2017
Playoffs Champ,Ginger Kids,Win,106.44 - 71.82,106.44,SUCK MY DITKA!,2017
Playoffs 3rd,The Dakstreet Boys,Loss,65.26 - 83.24,65.26,He Hate Me,2017
Playoffs 3rd,He Hate Me,Win,83.24 - 65.26,83.24,The Dakstreet Boys,2017
Consolation Qtr,Team Carrizard,Win,116.84 -74.54,116.84,Steelers SIXcess,2017
Consolation Qtr,Steelers SIXcess,Loss,74.54 - 116.84,74.54,Team Carrizard,2017
Consolation Qtr,Admiral Ackbar's Ass,Win,87.84 - 69.66,87.84,Show Me Your TD's,2017
Consolation Qtr,Show Me Your TD's,Loss,69.66 - 87.84,69.66,Admiral Ackbar's Ass,2017
Consolation Semi,Steelers SIXcess,Win,75.92 - 73.78,75.92,The Cucumber Curse,2017
Consolation Semi,The Cucumber Curse,Loss,73.78 - 75.92,73.78,Steelers SIXcess,2017
Consolation Semi,Cheap Vodka,Loss,72.34 - 88.84,72.34,Show Me Your TD's,2017
Consolation Semi,Show Me Your TD's,Win,88.84 - 72.34,88.84,Cheap Vodka,2017
Consolation 11th,Admiral Ackbar's Ass,Win,91.74 - 87.04,91.74,Team Carrizard,2017
Consolation 11th,Team Carrizard,Loss,87.04 - 91.74,87.04,Admiral Ackbar's Ass,2017
Consolation Champ,Cheap Vodka,Win,107.96 - 87.74,107.96,The Cucumber Curse,2017
Consolation Champ,The Cucumber Curse,Loss,87.74 - 107.96,87.74,Cheap Vodka,2017
Consolation 9th,Show Me Your TD's,Win,91.82 - 72.26,91.82,Steelers SIXcess,2017
Consolation 9th,Steelers SIXcess,Loss,72.26 - 91.82,72.26,Show Me Your TD's,2017
1,Cheap Vodka,Loss,113.72 - 116.10,113.72,Admiral Ackbar's Ass,2016
2,Bell's Potslam,Win,98.36 - 44.72,98.36,Admiral Ackbar's Ass,2016
3,Ginger Kids,Win,99.82 - 97.80,99.82,Admiral Ackbar's Ass,2016
4,Show Me Your TD's,Loss,103.60 - 111.56,103.6,Admiral Ackbar's Ass,2016
5,Jordy oz. to Freedom,Win,79.08 - 59.66,79.08,Admiral Ackbar's Ass,2016
6,SUCK MY DITKA,Loss,96.70 - 132.40,96.7,Admiral Ackbar's Ass,2016
7,Team Zekeachu,Win,83.00 - 79.94,83,Admiral Ackbar's Ass,2016
8,Fuck Gronks bitchass,Win,84.32 - 71.58,84.32,Admiral Ackbar's Ass,2016
9,Steelers SIXcess,Loss,93.48 - 96.06,93.48,Admiral Ackbar's Ass,2016
10,Thunder Horse,Win,105.36 - 87.84,105.36,Admiral Ackbar's Ass,2016
11,Wilfork on 1st Date,Win,108.78 - 85.72,108.78,Admiral Ackbar's Ass,2016
12,Cheap Vodka,Loss,77.04 - 117.34,77.04,Admiral Ackbar's Ass,2016
13,Bell's Potslam,Win,120.16 - 84.56,120.16,Admiral Ackbar's Ass,2016
1,Admiral Ackbar's Ass,Win,116.10 - 113.72,116.1,Cheap Vodka,2016
2,Wilfork on 1st Date,Loss,89.16 - 104.56,89.16,Cheap Vodka,2016
3,Bell's Potslam,Win,131.96 - 117.50,131.96,Cheap Vodka,2016
4,Ginger Kids,Win,120.08 - 59.24,120.08,Cheap Vodka,2016
5,Show Me Your TD's,Win,142.12 - 95.58,142.12,Cheap Vodka,2016
6,Jordy oz. to Freedom,Loss,87.64 - 93.30,87.64,Cheap Vodka,2016
7,SUCK MY DITKA,Loss,95.34 - 103.52,95.34,Cheap Vodka,2016
8,Team Zekeachu,Loss,80.40 - 102.90,80.4,Cheap Vodka,2016
9,Fuck Gronks bitchass,Win,112.32 - 73.90,112.32,Cheap Vodka,2016
10,Steelers SIXcess,Win,142.30 - 100.62,142.3,Cheap Vodka,2016
11,Thunder Horse,Win,125.10 - 57.18,125.1,Cheap Vodka,2016
12,Admiral Ackbar's Ass,Win,117.34 - 77.04,117.34,Cheap Vodka,2016
13,Wilfork on 1st Date,Win,78.66 - 61.48,78.66,Cheap Vodka,2016
1,Thunder Horse,Win,97.34 - 77.12,97.34,Bell's Potslam,2016
2,Admiral Ackbar's Ass,Loss,44.72 - 98.36,44.72,Bell's Potslam,2016
3,Cheap Vodka,Loss,117.50 - 131.96,117.5,Bell's Potslam,2016
4,Wilfork on 1st Date,Win,101.68 - 71.52,101.68,Bell's Potslam,2016
5,Ginger Kids,Win,86.64 - 78.86,86.64,Bell's Potslam,2016
6,Show Me Your TD's,Loss,70.64 - 98.98,70.64,Bell's Potslam,2016
7,Jordy oz. to Freedom,Loss,87.28 - 102.74,87.28,Bell's Potslam,2016
8,SUCK MY DITKA,Win,102.20 - 97.10,102.2,Bell's Potslam,2016
9,Team Zekeachu,Loss,105.34 - 106.06,105.34,Bell's Potslam,2016
10,Fuck Gronks bitchass,Win,110.94 - 82.44,110.94,Bell's Potslam,2016
11,Steelers SIXcess,Win,115.10 - 66.28,115.1,Bell's Potslam,2016
12,Thunder Horse,Win,92.24 - 68.78,92.24,Bell's Potslam,2016
13,Admiral Ackbar's Ass,Loss,84.56 - 120.16,84.56,Bell's Potslam,2016
1,Steelers SIXcess,Loss,85.68 - 115.10,85.68,Ginger Kids,2016
2,Thunder Horse,Loss,61.02 - 109.80,61.02,Ginger Kids,2016
3,Admiral Ackbar's Ass,Loss,97.80 - 99.82,97.8,Ginger Kids,2016
4,Cheap Vodka,Loss,59.24 - 120.08,59.24,Ginger Kids,2016
5,Bell's Potslam,Loss,78.86 - 86.64,78.86,Ginger Kids,2016
6,Wilfork on 1st Date,Win,90.66 - 66.92,90.66,Ginger Kids,2016
7,Show Me Your TD's,Win,101.84 - 81.42,101.84,Ginger Kids,2016
8,Jordy oz. to Freedom,Loss,69.62 - 140.44,69.62,Ginger Kids,2016
9,SUCK MY DITKA,Win,136.84 - 106.82,136.84,Ginger Kids,2016
10,Team Zekeachu,Loss,81.40 - 124.22,81.4,Ginger Kids,2016
11,Fuck Gronks bitchass,Loss,63.04 - 69.68,63.04,Ginger Kids,2016
12,Steelers SIXcess,Win,135.76 - 102.94,135.76,Ginger Kids,2016
13,Thunder Horse,Win,83.10 - 79.90,83.1,Ginger Kids,2016
1,Fuck Gronks bitchass,Win,121.50 - 101.46,121.5,Show Me Your TD's,2016
2,Steelers SIXcess,Win,104.88 - 51.66,104.88,Show Me Your TD's,2016
3,Thunder Horse,Loss,66.14 - 121.96,66.14,Show Me Your TD's,2016
4,Admiral Ackbar's Ass,Win,111.56 - 103.60,111.56,Show Me Your TD's,2016
5,Cheap Vodka,Loss,95.58 - 142.12,95.58,Show Me Your TD's,2016
6,Bell's Potslam,Win,98.98 - 70.64,98.98,Show Me Your TD's,2016
7,Ginger Kids,Loss,81.42 - 101.84,81.42,Show Me Your TD's,2016
8,Wilfork on 1st Date,Win,111.20 - 96.22,111.2,Show Me Your TD's,2016
9,Jordy oz. to Freedom,Loss,68.84 - 106.08,68.84,Show Me Your TD's,2016
10,SUCK MY DITKA,Loss,73.56 - 91.82,73.56,Show Me Your TD's,2016
11,Team Zekeachu,Win,102.68 - 66.52,102.68,Show Me Your TD's,2016
12,Fuck Gronks bitchass,Win,93.26 - 79.14,93.26,Show Me Your TD's,2016
13,Steelers SIXcess,Win,114.62 - 89.16,114.62,Show Me Your TD's,2016
1,Team Zekeachu,Win,93.86 - 79.30,93.86,Jordy oz. to Freedom,2016
2,Fuck Gronks bitchass,Win,120.32 - 112.52,120.32,Jordy oz. to Freedom,2016
3,Steelers SIXcess,Win,101.50 - 72.18,101.5,Jordy oz. to Freedom,2016
4,Thunder Horse,Loss,89.82 - 98.04,89.82,Jordy oz. to Freedom,2016
5,Admiral Ackbar's Ass,Loss,59.66 - 79.08,59.66,Jordy oz. to Freedom,2016
6,Cheap Vodka,Win,93.30 - 87.64,93.3,Jordy oz. to Freedom,2016
7,Bell's Potslam,Win,102.74 - 87.28,102.74,Jordy oz. to Freedom,2016
8,Ginger Kids,Win,140.44 - 69.62,140.44,Jordy oz. to Freedom,2016
9,Show Me Your TD's,Win,106.08 - 68.84,106.08,Jordy oz. to Freedom,2016
10,Wilfork on 1st Date,Win,91.54 - 51.38,91.54,Jordy oz. to Freedom,2016
11,SUCK MY DITKA,Win,107.04 - 98.80,107.04,Jordy oz. to Freedom,2016
12,Team Zekeachu,Win,108.32 - 102.78,108.32,Jordy oz. to Freedom,2016
