Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
6,Veggie Thunbergers,Loss,54.80 - 59.82,54.8,Show Me Your TD's,2019
7,Da Bear Necessities,Win,144.12 - 101.12,144.12,Show Me Your TD's,2019
8,Two Chips,Loss,74.70 - 109.76,74.7,Show Me Your TD's,2019
9,Dinero Pineiro,Win,140.70 - 56.46,140.7,Show Me Your TD's,2019
10,Da Bear Necessities,Win,105.48 - 93.52,105.48,Show Me Your TD's,2019
11,Hagar Billies,Win,98.42 - 59.76,98.42,Show Me Your TD's,2019
12,Thunder Horse,Win,108.54 - 85.30,108.54,Show Me Your TD's,2019
13,The Legion Of Zoom,Win,100.36 - 82.60,100.36,Show Me Your TD's,2019
1,Admiral Ackbar's Ass,Loss,103.32 - 135.20,103.32,Steelers SIXcess,2019
2,SaquonDeezNuts,Win,89.52 - 88.76,89.52,Steelers SIXcess,2019
3,TAEkin it 2 da HOUSE,Loss,74.62 - 103.24,74.62,Steelers SIXcess,2019
4,Show Me Your TD's,Win,99.80 - 59.80,99.8,Steelers SIXcess,2019
5,Hagar Billies,Loss,72.84 - 73.44,72.84,Steelers SIXcess,2019
6,Da Bear Necessities,Win,96.80 - 58.62,96.8,Steelers SIXcess,2019
7,The Legion Of Zoom,Loss,74.26 - 107.74,74.26,Steelers SIXcess,2019
8,Thunder Horse,Loss,88.54 - 109.58,88.54,Steelers SIXcess,2019
9,Two Chips,Loss,61.36 - 160.52,61.36,Steelers SIXcess,2019
10,The Legion Of Zoom,Loss,78.68 - 99.64,78.68,Steelers SIXcess,2019
11,Veggie Thunbergers,Loss,89.74 - 117.04,89.74,Steelers SIXcess,2019
12,Dinero Pineiro,Win,110.56 - 78.34,110.56,Steelers SIXcess,2019
13,Admiral Ackbar's Ass,Loss,77.38 - 93.64,77.38,Steelers SIXcess,2019
1,Da Bear Necessities,Loss,91.26 - 134.64,91.26,Two Chips,2019
2,The Legion Of Zoom,Loss,101.58 - 120.82,101.58,Two Chips,2019
3,Thunder Horse,Loss,109.58 - 129.64,109.58,Two Chips,2019
4,Da Bear Necessities,Loss,97.38 - 146.38,97.38,Two Chips,2019
5,Admiral Ackbar's Ass,Loss,94.24 - 112.32,94.24,Two Chips,2019
6,SaquonDeezNuts,Win,102.94 - 87.70,102.94,Two Chips,2019
7,Veggie Thunbergers,Loss,77.02 - 85.78,77.02,Two Chips,2019
8,Show Me Your TD's,Win,109.76 - 74.70,109.76,Two Chips,2019
9,Steelers SIXcess,Win,160.52 - 61.36,160.52,Two Chips,2019
10,Veggie Thunbergers,Win,158.32 - 77.52,158.32,Two Chips,2019
11,TAEkin it 2 da HOUSE,Win,106.78 - 101.56,106.78,Two Chips,2019
12,Hagar Billies,Win,111.36 - 68.24,111.36,Two Chips,2019
13,Dinero Pineiro,Win,94.40 - 83.34,94.4,Two Chips,2019
1,Dinero Pineiro,Win,114.70 - 82.92,114.7,The Legion Of Zoom,2019
2,Two Chips,Win,120.82 - 101.58,120.82,The Legion Of Zoom,2019
3,Veggie Thunbergers,Win,106.76 - 106.22,106.76,The Legion Of Zoom,2019
4,Admiral Ackbar's Ass,Loss,60.50 - 78.20,60.5,The Legion Of Zoom,2019
5,SaquonDeezNuts,Loss,105.24 - 149.94,105.24,The Legion Of Zoom,2019
6,TAEkin it 2 da HOUSE,Loss,86.52 - 116.52,86.52,The Legion Of Zoom,2019
7,Steelers SIXcess,Win,107.74 - 74.26,107.74,The Legion Of Zoom,2019
8,Hagar Billies,Loss,84.50 - 108.70,84.5,The Legion Of Zoom,2019
9,Da Bear Necessities,Win,93.56 - 70.76,93.56,The Legion Of Zoom,2019
10,Steelers SIXcess,Win,99.64 - 78.68,99.64,The Legion Of Zoom,2019
11,Thunder Horse,Loss,66.98 - 103.56,66.98,The Legion Of Zoom,2019
12,SaquonDeezNuts,Loss,82.78 - 97.12,82.78,The Legion Of Zoom,2019
13,Show Me Your TD's,Loss,82.60 - 100.36,82.6,The Legion Of Zoom,2019
1,Two Chips,Win,134.64 - 91.26,134.64,Da Bear Necessities,2019
2,TAEkin it 2 da HOUSE,Win,113.52 - 93.66,113.52,Da Bear Necessities,2019
3,SaquonDeezNuts,Loss,95.02 - 125.54,95.02,Da Bear Necessities,2019
4,Two Chips,Win,146.38 - 97.38,146.38,Da Bear Necessities,2019
5,Thunder Horse,Loss,124.20 - 138.52,124.2,Da Bear Necessities,2019
6,Steelers SIXcess,Loss,58.62 - 96.80,58.62,Da Bear Necessities,2019
7,Show Me Your TD's,Loss,101.12 - 144.12,101.12,Da Bear Necessities,2019
8,Veggie Thunbergers,Win,111.98 - 97.06,111.98,Da Bear Necessities,2019
9,The Legion Of Zoom,Loss,70.76 - 93.56,70.76,Da Bear Necessities,2019
10,Show Me Your TD's,Loss,93.52 - 105.48,93.52,Da Bear Necessities,2019
11,Dinero Pineiro,Win,110.62 - 91.00,110.62,Da Bear Necessities,2019
12,Admiral Ackbar's Ass,Win,92.36 - 82.70,92.36,Da Bear Necessities,2019
13,Hagar Billies,Loss,75.16 - 103.80,75.16,Da Bear Necessities,2019
1,Hagar Billies,Win,107.20 - 103.72,107.2,Thunder Horse,2019
2,Dinero Pineiro,Loss,84.10 - 84.90,84.1,Thunder Horse,2019
3,Two Chips,Win,129.64 - 109.58,129.64,Thunder Horse,2019
4,Hagar Billies,Loss,68.90 - 113.94,68.9,Thunder Horse,2019
5,Da Bear Necessities,Win,138.52 - 124.20,138.52,Thunder Horse,2019
6,Admiral Ackbar's Ass,Win,141.00 - 101.16,141,Thunder Horse,2019
7,SaquonDeezNuts,Win,94.44 - 69.32,94.44,Thunder Horse,2019
8,Steelers SIXcess,Win,109.58 - 88.54,109.58,Thunder Horse,2019
9,TAEkin it 2 da HOUSE,Win,114.42 - 56.54,114.42,Thunder Horse,2019
10,SaquonDeezNuts,Win,112.08 - 73.54,112.08,Thunder Horse,2019
11,The Legion Of Zoom,Win,103.56 - 66.98,103.56,Thunder Horse,2019
12,Show Me Your TD's,Loss,85.30 - 108.54,85.3,Thunder Horse,2019
13,Veggie Thunbergers,Loss,81.64 - 86.02,81.64,Thunder Horse,2019
1,Show Me Your TD's,Loss,116.32 - 123.30,116.32,SaquonDeezNuts,2019
2,Steelers SIXcess,Loss,88.76 - 89.52,88.76,SaquonDeezNuts,2019
3,Da Bear Necessities,Win,125.54 - 95.02,125.54,SaquonDeezNuts,2019
4,Veggie Thunbergers,Win,61.70 - 61.12,61.7,SaquonDeezNuts,2019
5,The Legion Of Zoom,Win,149.94 - 105.24,149.94,SaquonDeezNuts,2019
6,Two Chips,Loss,87.70 - 102.94,87.7,SaquonDeezNuts,2019
7,Thunder Horse,Loss,69.32 - 94.44,69.32,SaquonDeezNuts,2019
